#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
16,EDIT_MSG_DIALOG_SAVE_LOAD,"エディットのセーブ/ロード

性別や顔、体型などのモデルに関する
エディット情報をセーブ
またはロードすることができます",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,16
45,EDIT_MSG_DIALOG_TUTORIAL_SEX,"《便利な機能を紹介》

【<COL FFFFFF><KC UI_START></COL>】
エディット情報のセーブ/ロードがおこなえます

【<COL FFFFFF><KC UI_LB></COL> / <COL FFFFFF><KC UI_RB></COL>】
一つ前の設定に戻したり、やり直したりできます
（性別を変更すると履歴はリセットされます）

その他の機能は、画面下のガイドをご覧ください",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,45
46,EDIT_MSG_DIALOG_TUTORIAL_PRESET,"《デザイナープリセットとは》

予め用意されたサンプルモデルです
エディットが苦手な方にオススメです

より高度なエディットをしたい方は
顔の輪郭や目、眉などで詳細な設定ができます",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,46
47,EDIT_MSG_DIALOG_TUTORIAL_RANDOM,"《ワンポイントアドバイス》

ランダムを選ぶと、髪の毛や目、眉などの
各種パーツをランダム設定します

元に戻る/やり直すの履歴機能を使ったり
こまめにセーブ/ロードをおこなって
理想のキャラクターモデルに近づけていきましょう",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,47
53,EDIT_MSG_DIALOG_FIRST_PUSH_DEFAULT,"【<COL FFFFFF><KC UI_X></COL>】はデフォルトに戻す機能です

（次回の操作から、この確認は表示されません）",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,53
54,EDIT_MSG_DIALOG_EDIT_RETURN_TITLE,"タイトル画面に戻ります
よろしいですか？

(エディット情報のセーブは済ませましたか？)",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,54
55,EDIT_MSG_DIALOG_EDIT_RETURN_LAUNCHER,"ゲームを終了してランチャーに戻ります
よろしいですか？

(エディット情報のセーブは済ませましたか？)",,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,55
200,EVENT_NAME_st0438ev000,EX1.1タイムアタックデモ,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,200
0,,"あたし、もっとマスターのお役にたちたいの
ねぇ――""お願い""聞いてくれないかしら",,ui\00_message\pw\pwtlk08.gmd,\game_common.arc,game_common.arc,150
9,myroom_edit_alert,"<COL AA1414>最終確認</COL>

元の髪型や、別の髪型に変更する場合は、
美容院（有償）で変更する必要があります。

本当に変更しますか？",,ui\00_message\ui\myroom.gmd,\MyRoom.arc,MyRoom.arc,9
48,myroom_mandragora_3A0_1_09_dialog,"このマンドラゴラを通常育成します
よろしいですか？

マンドラゴラ：<VAL>
作るもの：<VAL>
育成時間：<VAL>",,ui\00_message\ui\myroom.gmd,\MyRoom.arc,MyRoom.arc,48
49,myroom_mandragora_3A0_1_10_dialog,"このマンドラゴラを<COL ffdc78>黄金石で即時育成</COL>します
よろしいですか？

マンドラゴラ：<VAL>
作るもの：<VAL>
育成時間：<VAL>

<COL ffdc78>黄金石<VAL>個</COL>を消費します (所持数：<VAL>)",,ui\00_message\ui\myroom.gmd,\MyRoom.arc,MyRoom.arc,49
53,myroom_mandragora_3A2_2_dialog,"このマンドラゴラは育成途中です

作るもの：<VAL>
育成時間：<VAL>",,ui\00_message\ui\myroom.gmd,\MyRoom.arc,MyRoom.arc,53
59,myroom_mandragora_3A0_1_10_dialog_ex1,<COL ffdc78>すぐに育ちます</COL>,,ui\00_message\ui\myroom.gmd,\MyRoom.arc,MyRoom.arc,59
0,,"""悪しき竜""の気配はないか――
気の乱れを見逃すなよ",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,67
0,,"""悪しき竜""からの接触はないのか？",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,69
0,,"おまえが""悪しき竜""ならどうする
野放しにしておくだろうか――",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,71
0,,"""悪しき竜""の目的が見えぬ",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,73
0,,"""悪しき竜""が竜力を手放すとは思えん
となれば力尽くで奪うことになるのだろうか
果たして可能だろうか――",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,75
0,,"""悪しき竜""が持つ竜力の行方が
アッカーシェランの未来を決めることに
なるだろう",,ui\00_message\npc\base\n0001.gmd,\npc\n0001.arc,n0001.arc,76
