"2","q21000083_00_363","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","2"
"3","3","ここ禁域にいれば、気味の悪い魔物に出くわすなんざ
日常茶飯事もいいとこさ
むしろ、その刺激がやめられない
そう、そういう馬鹿な奴が集まってくるのさ
――たまらないね","ここ禁域にいれば、気味の悪い魔物に出くわすなんざ
日常茶飯事もいいとこさ
むしろ、その刺激がやめられない
そう、そういう馬鹿な奴が集まってくるのさ
――たまらないね","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","3"
"4","4","指定された場所へ行き、狂暴な魔物を見つける","指定された場所へ行き、狂暴な魔物を見つける","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","4"
"5","5","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","5"
"6","6","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","6"
"0","0","敵との戦闘で一度も死亡状態になりませんでした
クリア時のボーナス報酬が多くなります","敵との戦闘で一度も死亡状態になりませんでした
クリア時のボーナス報酬が多くなります","ui\00_message\examine_message\quest\quest_examine_q21000083.gmd","\quest\q21000083.arc","q21000083.arc","0"
"0","0","q210000083ハズレメッセージ","q210000083ハズレメッセージ","ui\00_message\examine_message\quest\quest_examine_q21000083.gmd","\quest\q21000083.arc","q21000083.arc","1"
"0","0","パーティメンバーが死亡状態になりました
クリア時のボーナス報酬が少なくなります","パーティメンバーが死亡状態になりました
クリア時のボーナス報酬が少なくなります","ui\00_message\examine_message\quest\quest_examine_q21000083.gmd","\quest\q21000083.arc","q21000083.arc","2"
"0","0","放浪の果てに","放浪の果てに","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","0"
"1","1","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","1"
"2","2","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","2"
"3","3","本だの何かの器具だのが散らばってる気味の悪い
場所があるだろ？　少し前、あの辺りで金属音が
響く夜が続いたんだが、それがぴたりと収まったんだ
音の主はどこかに移動したのか、それともあの穴に
降りていったのか――","本だの何かの器具だのが散らばってる気味の悪い
場所があるだろ？　少し前、あの辺りで金属音が
響く夜が続いたんだが、それがぴたりと収まったんだ
音の主はどこかに移動したのか、それともあの穴に
降りていったのか――","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","3"
"4","4","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","4"
"5","5","指定された場所へ魔物を探しに行く","指定された場所へ魔物を探しに行く","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","5"
"6","6","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21000084_00.gmd","\quest\q21000084.arc","q21000084.arc","7"
"0","0","覚者様、恐れながら――
私の願いをお聞きいただけないでしょうか","覚者様、恐れながら――
私の願いをお聞きいただけないでしょうか","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","0"
"0","0","ザンドラ禁域にて神殿と覚者様の標となる
この祠を守るため、とある貴重な品が
必要なのですが数が足りず、途方に暮れております","ザンドラ禁域にて神殿と覚者様の標となる
この祠を守るため、とある貴重な品が
必要なのですが数が足りず、途方に暮れております","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","1"
"0","0","しかし、ここは最果ての地ゆえ
商人を呼ぶことも憚られ――
どうか、お力添えいただけないでしょうか","しかし、ここは最果ての地ゆえ
商人を呼ぶことも憚られ――
どうか、お力添えいただけないでしょうか","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","2"
"0","0","覚者様のご助力、心強い限りです
品をお持ちいただいた際には、私にお声を――","覚者様のご助力、心強い限りです
品をお持ちいただいた際には、私にお声を――","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","3"
"0","0","約束の品をお持ちいただき、感謝いたします
これでいくばくかの時を
凌ぐことができそうです――","約束の品をお持ちいただき、感謝いたします
これでいくばくかの時を
凌ぐことができそうです――","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","4"
"0","0","――覚者様
実は、もう一つ
お力添えいただきたい問題があるのです","――覚者様
実は、もう一つ
お力添えいただきたい問題があるのです","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","5"
"0","0","最近、《叫びの竪穴》付近で
妙な物音を聞くといった報告が相次いで
いたのですが、それがぴたりと止んだのです
音の主はなぜか、あの井戸に降りていった様子――","最近、《叫びの竪穴》付近で
妙な物音を聞くといった報告が相次いで
いたのですが、それがぴたりと止んだのです
音の主はなぜか、あの井戸に降りていった様子――","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","6"
"0","0","もしお時間が許すならば
一度様子を見てきていただけないでしょうか","もしお時間が許すならば
一度様子を見てきていただけないでしょうか","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","7"
