"0","","お、お前、助ケタ――？
感謝スル――
ファーガル、動けない――置いてイケ","消えた足音に気付く時","ui\00_message\quest\q21015012.gmd","\quest\q21015012.arc","q21015012.arc","21"
"0","q21015012_00_600","異邦捜査線","異邦捜査線","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","0"
"1","q21015012_00_600","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","1"
"2","q21015012_00_600","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","2"
"3","q21015012_00_600","あの子は仕事柄、色んな冒険者のことを
気にかけていて大変そうね
さっきも、どこから来たか分からない怪しげな
フィンダム人の心配をしていたわ
だれか、話を聞いてあげたらどう？","エランから来たって言う２人の旅人がいるんだけど
少し前から片方を見なくなったね
連れの人は気付いていないみたい
全然気づかないから、面白くて
いつ気付くかずっと見てるんだ","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","3"
"4","q21015012_00_1226","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","4"
"5","q21015012_00_1227","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","5"
"6","q21015012_00_1228","捜索対象の安否を確認する","捜索対象の安否を確認する","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","6"
"7","q21015012_00_1169","依頼者に報告する","依頼者に報告する","ui\00_message\quest_info\q21015012_00.gmd","\quest\q21015012.arc","q21015012.arc","7"
"0","","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21015012.gmd","\quest\q21015012.arc","q21015012.arc","0"
"0","","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21015012.gmd","\quest\q21015012.arc","q21015012.arc","1"
"0","","あれ――見たことある顔だと思ったら！
久しぶりだな
こっちでも随分な活躍だそうじゃないか","あれ――見たことある顔だと思ったら！
久しぶりだな
こっちでも随分な活躍だそうじゃないか","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","0"
"0","","俺か？
俺は、ヴァネッサ副隊長の代理みたいなものだ
――あ、グリッテン砦を捨てた訳じゃないぞ
砦の危機には、飛んで帰るつもりだ","俺か？
俺は、ヴァネッサ副隊長の代理みたいなものだ
――あ、グリッテン砦を捨てた訳じゃないぞ
砦の危機には、飛んで帰るつもりだ","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","1"
"0","","っと――立ち話してる場合ではなかったな
すまないが、連戦続きで立っているのも
やっとな状態でな――
ここを切り抜けるのを、手伝ってくれるか？","っと――立ち話してる場合ではなかったな
すまないが、連戦続きで立っているのも
やっとな状態でな――
ここを切り抜けるのを、手伝ってくれるか？","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","2"
