"1","q40200160_00_498","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","ui\00_message\quest_info\q40200160_00.gmd","\quest\q40200160.arc","q40200160.arc","1"
"0","0","【週期要請】ハイデル平原：治安維持討伐","【週期要請】ハイデル平原：治安維持討伐","ui\00_message\quest_info\q40201001_00.gmd","\quest\q40201001.arc","q40201001.arc","0"
"1","eqenhance_title_sub","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","ui\00_message\quest_info\q40201001_00.gmd","\quest\q40201001.arc","q40201001.arc","1"
"0","0","【週期要請】ハイデル平原：物資供給","【週期要請】ハイデル平原：物資供給","ui\00_message\quest_info\q40201002_00.gmd","\quest\q40201002.arc","q40201002.arc","0"
"1","eqenhance_title_sub","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ui\00_message\quest_info\q40201002_00.gmd","\quest\q40201002.arc","q40201002.arc","1"
"0","0","【週期要請】ブリア海岸：治安維持討伐","【週期要請】ブリア海岸：治安維持討伐","ui\00_message\quest_info\q40201003_00.gmd","\quest\q40201003.arc","q40201003.arc","0"
"1","eqenhance_title_sub","ローテスでの長期討伐を頼む！
<LQEM>を<LQVA>体討伐してくれないか
美味い魚を食べながら、ゆっくり討伐していってくれればいいさ","ローテスでの長期討伐を頼む！
<LQEM>を<LQVA>体討伐してくれないか
美味い魚を食べながら、ゆっくり討伐していってくれればいいさ","ui\00_message\quest_info\q40201003_00.gmd","\quest\q40201003.arc","q40201003.arc","1"
"0","0","【週期要請】ブリア海岸：物資供給","【週期要請】ブリア海岸：物資供給","ui\00_message\quest_info\q40201004_00.gmd","\quest\q40201004.arc","q40201004.arc","0"
"1","eqenhance_title_sub","ローテスでの長期採集を頼む！
<LQIM>を<LQVA>個集めてほしいんだ
たまにはさざ波の音を聞きながら、ゆったり採集ライフも良いもんだよ！","ローテスでの長期採集を頼む！
<LQIM>を<LQVA>個集めてほしいんだ
たまにはさざ波の音を聞きながら、ゆったり採集ライフも良いもんだよ！","ui\00_message\quest_info\q40201004_00.gmd","\quest\q40201004.arc","q40201004.arc","1"
"0","0","【週期要請】ミスリウ森林：治安維持討伐","【週期要請】ミスリウ森林：治安維持討伐","ui\00_message\quest_info\q40201005_00.gmd","\quest\q40201005.arc","q40201005.arc","0"
"1","eqenhance_title_sub","リンウッドに長期滞在、もしくは何度も来る予定の人はいるかしら？
<LQEM> <LQEM>の討伐をお願いしたいのだけど
ゆっくりでいいから、お願いできないかしら","リンウッドに長期滞在、もしくは何度も来る予定の人はいるかしら？
<LQEM> <LQEM>の討伐をお願いしたいのだけど
ゆっくりでいいから、お願いできないかしら","ui\00_message\quest_info\q40201005_00.gmd","\quest\q40201005.arc","q40201005.arc","1"
"0","0","【週期要請】ミスリウ森林：物資供給","【週期要請】ミスリウ森林：物資供給","ui\00_message\quest_info\q40201006_00.gmd","\quest\q40201006.arc","q40201006.arc","0"
"1","eqenhance_title_sub","リンウッドに長期滞在、もしくは何度も来る予定の人はいるかしら？
<LQIM>が<LQVA>つほど不足しているの
急ぎではないから、考えてみてくれないかしら","リンウッドに長期滞在、もしくは何度も来る予定の人はいるかしら？
<LQIM>が<LQVA>つほど不足しているの
急ぎではないから、考えてみてくれないかしら","ui\00_message\quest_info\q40201006_00.gmd","\quest\q40201006.arc","q40201006.arc","1"
"0","0","【週期要請】ボルド鉱山：治安維持討伐","【週期要請】ボルド鉱山：治安維持討伐","ui\00_message\quest_info\q40201007_00.gmd","\quest\q40201007.arc","q40201007.arc","0"
"1","eqenhance_title_sub","ここキノザに長期ご滞在の覚者様がた！
<LQEM>にひどい目に遭わされたって方がいらっしゃいましてね
客足が遠のく前に、本腰入れて何とかしたいわけです
どうかご滞在中に<LQVA>匹ほど退治していただけませんか","ここキノザに長期ご滞在の覚者様がた！
<LQEM>にひどい目に遭わされたって方がいらっしゃいましてね
客足が遠のく前に、本腰入れて何とかしたいわけです
どうかご滞在中に<LQVA>匹ほど退治していただけませんか","ui\00_message\quest_info\q40201007_00.gmd","\quest\q40201007.arc","q40201007.arc","1"
