"6","q60318010_00_3236","<NPC 2953>から魔軍の襲撃計画について聞く","Report to Angelo","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","6"
"7","q60318010_00_3237","指定された場所の中から魔軍の伝令兵を探す","引き続き闇の力の痕跡を探す","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","7"
"8","q60318010_00_3238","魔軍の伝令兵を討伐する","Defeat the appeared demons","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","8"
"9","q60318010_00_3239","伝令兵が落とした指令書を手に入れる","手がかりを調べる","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","9"
"10","q60318010_00_3240","<NPC 2953>に指令書を見せる","引き続き闇の力の痕跡を探す","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","10"
"11","q60318010_00_3241","<NPC 2900>に魔軍の襲撃計画を伝える","(鷹)(ﾉ|ノ|の|no)(団)","ui\00_message\quest_info\q60318010_00.gmd","\quest\q60318010.arc","q60318010.arc","11"
"0","","おお、これは良いところに来てくれたな！
今しがた、魔軍について新しい情報を入手したのだ
聞いてくれ","肉料理初級編","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","0"
"0","","我々がこのティネス砦を奪還したことにより
魔軍にも焦りが出たのか、いよいよ本気で
押し寄せんとしているようだ","我々がこのティネス砦を奪還したことにより
魔軍にも焦りが出たのか、いよいよ本気で
押し寄せんとしているようだ","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","1"
"0","","まずは魔軍の計画を詳しく調べる必要がある
耳ざといベルタ盗賊団の連中なら――
何かしら魔軍についての計画を掴んでいるかもしれん
行って、情報を引き出してきてくれんか","まずは魔軍の計画を詳しく調べる必要がある
耳ざといベルタ盗賊団の連中なら――
何かしら魔軍についての計画を掴んでいるかもしれん
行って、情報を引き出してきてくれんか","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","2"
"0","","魔軍の脅威について","魔軍の脅威について","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","3"
"0","","襲撃計画について","襲撃計画について","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","4"
"0","","――後でもう一度聞かせてほしい","――後でもう一度聞かせてほしい","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","5"
"0","","敵はついにあの
“魔軍戦車”を率いて侵攻してくるらしい","敵はついにあの
“魔軍戦車”を率いて侵攻してくるらしい","ui\00_message\quest\q60318010.gmd","\quest\q60318010.arc","q60318010.arc","6"
