#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,q40000266_00_266,掃除の敵,A Clean Sweep,ui\00_message\quest_info\q40000266_00.gmd,\quest\q40000266.arc,q40000266.arc,0
0,q40000234_00_234,有用なる恵み,A Convenient Blessing,ui\00_message\quest_info\q40000234_00.gmd,\quest\q40000234.arc,q40000234.arc,0
0,q40000296_00_297,お願いがございます,A Favor to Ask,ui\00_message\quest_info\q40000296_00.gmd,\quest\q40000296.arc,q40000296.arc,0
0,q40000272_00_272,あったらでいいわ,A Humble Request,ui\00_message\quest_info\q40000272_00.gmd,\quest\q40000272.arc,q40000272.arc,0
0,q40000194_00_194,ゾマに活気を！,A Lively Zoma!,ui\00_message\quest_info\q40000194_00.gmd,\quest\q40000194.arc,q40000194.arc,0
0,q40000175_00_175,取引,A Mere Transaction,ui\00_message\quest_info\q40000175_00.gmd,\quest\q40000175.arc,q40000175.arc,0
0,q40000171_00_171,どうにか調達をお願いする,A Most Pressing Need,ui\00_message\quest_info\q40000171_00.gmd,\quest\q40000171.arc,q40000171.arc,0
0,q40000279_00_279,神秘の宝庫,A Mysterious Treasure,ui\00_message\quest_info\q40000279_00.gmd,\quest\q40000279.arc,q40000279.arc,0
0,q40000201_00_201,退治しておくメモ,A Note on Extermination,ui\00_message\quest_info\q40000201_00.gmd,\quest\q40000201.arc,q40000201.arc,0
0,q40000212_00_212,手に入れておく物メモ,A Note on Goods,ui\00_message\quest_info\q40000212_00.gmd,\quest\q40000212.arc,q40000212.arc,0
0,q40000213_00_213,必要な物メモ,A Note on Necessities,ui\00_message\quest_info\q40000213_00.gmd,\quest\q40000213.arc,q40000213.arc,0
0,q40000202_00_202,狩っておく獲物メモ,A Note on Protection,ui\00_message\quest_info\q40000202_00.gmd,\quest\q40000202.arc,q40000202.arc,0
0,q40000203_00_203,狙う獲物メモ,A Note on Treasure,ui\00_message\quest_info\q40000203_00.gmd,\quest\q40000203.arc,q40000203.arc,0
0,q40000214_00_214,見つけておく物メモ,A Note to Search,ui\00_message\quest_info\q40000214_00.gmd,\quest\q40000214.arc,q40000214.arc,0
0,q40000146_00_146,要チュウイ,A Notice,ui\00_message\quest_info\q40000146_00.gmd,\quest\q40000146.arc,q40000146.arc,0
0,q40000243_00_243,哀れな傀儡,A Pitiful Puppet,ui\00_message\quest_info\q40000243_00.gmd,\quest\q40000243.arc,q40000243.arc,0
0,q40000134_00_134,合間の一杯,A Reprieve,ui\00_message\quest_info\q40000134_00.gmd,\quest\q40000134.arc,q40000134.arc,0
0,q40000136_00_136,魔法使いのおまもり,A Sorceress' Charm,ui\00_message\quest_info\q40000136_00.gmd,\quest\q40000136.arc,q40000136.arc,0
0,q40000126_00_126,採取の邪魔者,A Thievery,ui\00_message\quest_info\q40000126_00.gmd,\quest\q40000126.arc,q40000126.arc,0
0,q40000204_00_204,力試しをしてみないかな,A Trial,ui\00_message\quest_info\q40000204_00.gmd,\quest\q40000204.arc,q40000204.arc,0
0,q40000269_00_269,力試しをしてみないかな,A Trial,ui\00_message\quest_info\q40000269_00.gmd,\quest\q40000269.arc,q40000269.arc,0
0,q40000287_00_290,力試しをしてみないかな,A Trial,ui\00_message\quest_info\q40000287_00.gmd,\quest\q40000287.arc,q40000287.arc,0
0,q40000162_00_162,荒れ地の怪,A Wasteland Mystery,ui\00_message\quest_info\q40000162_00.gmd,\quest\q40000162.arc,q40000162.arc,0
0,q40000282_00_283,忌避すべき者,A Wide Berth,ui\00_message\quest_info\q40000282_00.gmd,\quest\q40000282.arc,q40000282.arc,0
0,q40000172_00_172,女房の努め,A Wife's Endeavour,ui\00_message\quest_info\q40000172_00.gmd,\quest\q40000172.arc,q40000172.arc,0
0,q40000174_00_174,外出が恐ろしくて,Afraid of the Outdoors,ui\00_message\quest_info\q40000174_00.gmd,\quest\q40000174.arc,q40000174.arc,0
0,q40000153_00_153,ヨコセ、齧るド！！,Aggression,ui\00_message\quest_info\q40000153_00.gmd,\quest\q40000153.arc,q40000153.arc,0
0,q40000135_00_135,料理のアクセント,Allures of a Meal,ui\00_message\quest_info\q40000135_00.gmd,\quest\q40000135.arc,q40000135.arc,0
0,q40000216_00_216,美食家の食材探し,An Epicurean Meal,ui\00_message\quest_info\q40000216_00.gmd,\quest\q40000216.arc,q40000216.arc,0
0,q40000141_00_141,死ヌカと思ッタ！,An Inch from Death,ui\00_message\quest_info\q40000141_00.gmd,\quest\q40000141.arc,q40000141.arc,0
0,q40000232_00_232,効率的アイテム収集,An Item Search,ui\00_message\quest_info\q40000232_00.gmd,\quest\q40000232.arc,q40000232.arc,0
0,q40000223_00_223,ミスリウ危険ガイド,An Unfortunate Guide,ui\00_message\quest_info\q40000223_00.gmd,\quest\q40000223.arc,q40000223.arc,0
0,q40200010_00_310,＜エリアオーダー＞魔赤島魔物征伐,Area Order: Bloodbane Isle Demon Extermination,ui\00_message\quest_info\q40200010_00.gmd,\quest\q40200010.arc,q40200010.arc,0
