"21787","
","
"
"7728","肉系のクラフト用素材
巨漢不死者の大きな腐肉塊","Meat Crafting Material.
Giant Undead's Large Rotten Flesh"
"7729","宝石系のクラフト用素材
ワイトが呪いの媒体に使うことがある。希少品","Gem Crafting Material.
Wights sometimes use it as a medium for curses. Rare item."
"7730","宝石系のクラフト用素材
ジュエルアイの瞳中央の宝石。希少品","Gem Crafting Material.
A gem located in the center of the Jewel Eye. 
A rare item."
"7731","宝石系のクラフト用素材
アルケミーアイの瞳の七色に彩めく宝石","Gem Crafting Material.
Gems that shine in the seven colors of the Alchemy Eye."
"7732","皮革系のクラフト用素材
猿獣のしっかりした皮","Pelt Crafting Material.
Durable skin from monkey-like animals."
"7733","皮革系のクラフト用素材
大猿獣の分厚くしっかりした皮","Pelt Crafting Material.
Thick and sturdy skin of a large ape beast."
"7734","肉系のクラフト用素材
ブロブのうごめく不気味な肉片","Meat Crafting Material. 
Blobs of wriggling, eerie flesh."
"7735","肉系のクラフト用素材
アンデッドなど不死者の腐った肉","Meat-based crafting material.
Decayed meat of undead and other immortals."
"7736","肉系のクラフト用素材
リザードマンの尻尾先端部分","Meat-based crafting material.
Tip of a Lizardman's tail."
"7737","肉系のクラフト用素材
サルファーリザードの希少な毒腺","Meat-based crafting material.
Rare poison gland of a Sulfur Lizard."
"7738","肉系のクラフト用素材
よく発達したリザード上位種の尾","Meat-based crafting material.
Well-developed tail of an advanced species of lizard."
"7739","皮革系のクラフト用素材
白獅子の純白で傷のない毛皮。希少品","Pelt Crafting Material
A pure white fur from a white lion, without any blemishes. 
A rare item."
"7740","肉系のクラフト用素材
強力なサイクロプス（ＬＶ．34～）の眼球","Meat Crafting Material:
Powerful Cyclops (LV. 34~) Eye"
"7741","肉系のクラフト用素材
コープスの呪われた死肉","Meat Crafting Material: Cursed Flesh of Corpses"
"7742","皮革系のクラフト用素材
黒巨鷲の濡れたような黒皮。希少品","Pelt Crafting Material:
Black leather-like skin of a wet black griffon. A rare item."
"7743","糸系のクラフト用素材
錬金術の応用で作られた金色の細糸","String Crafting Material:
Filament that is crafted through the application of alchemy, with a golden color."
"7744","肉系のクラフト用素材
グール（ＬＶ．４６～）など屍食鬼が
残した得体の知れぬ臓物","Meat Crafting Material: Unknown organs left behind by Ghouls (LV. 46~) and other corpse-eating demons."
"7745","肉系のクラフト用素材
コカトリス（ＬＶ．４３～）の毒腺","Meat Crafting Material.
Cockatrice (LV. 43~) Poison Gland."
"7746","肉系のクラフト用素材
いまだ震え続けているナイトメアの声帯","Meat Crafting Material: Nightmare's Vocal Cords, still trembling."
"7747","爪牙系のクラフト用素材
強力なスフィンクス（ＬＶ．25～）の麗爪","Fang Crafting Material.
Beautiful Claw of a powerful Sphinx (LV. 25~)."
"7748","角系のクラフト用素材
シャドーキメラの黒い霧を放つ角","Horn Crafting Material: Horn that releases black mist from the Shadow Chimera."
"7749","角系のクラフト用素材
コロッサスの太い角","Horn Crafting Material.
Colossus Thick Horn."
"7750","角系のクラフト用素材
ゴブリン族などの小さな角","Horn Crafting Material: Small Horns from creatures like Goblins."
"7751","角系のクラフト用素材
グールの不気味に歪んだ角","Horn Crafting Material:
Ghoul's eerily twisted horn"
"7752","角系のクラフト用素材
ゴブリン族の立派な角","Horn Crafting Material: Fine horns from the Goblin tribe."
"7753","角系のクラフト用素材
黒く変質しかけた錬魔ゴブリンの角","Horn Crafting Material: Alchemized Goblin Horn that has started to darken."
"7754","角系のクラフト用素材
竜族の鋭く尖った硬い角","Horn Crafting Material: Dragonkin's sharp and hard horns."
"7756","角系のクラフト用素材
アングルスの鋭く輝く一本角","Horn Crafting Material: The Glittering Horn of Angules"
"7758","角系のクラフト用素材
ヒビのない巨鷲のクチバシ。希少品","Horn Crafting Material: A flawless beak of a rare giant eagle."
"7759","爪牙系のクラフト用素材
猿獣の尖った爪","Fang Crafting Material:
Sharp Claws from Monkey-like Animals"
"7760","爪牙系のクラフト用素材
オーク族のいかつい牙","Fang Crafting Material: Orc Tribe's Fierce Fangs."
"7761","爪牙系のクラフト用素材
指揮官級オークの乱れた大牙","Fang Crafting Material: Disheveled Fang of an Orc Commander."
"7762","爪牙系のクラフト用素材
サイクロプスの長い大牙","Fang Crafting Material: Cyclops' Long Fang"
"7763","爪牙系のクラフト用素材
特別な力を感じる竜族の牙。希少品","Fang Crafting Material
A rare fang that exudes a special power from the Dragonkin."
"7764","魔道書系のクラフト用素材
亡者魔術師が手にするぼろぼろの魔道書","Grimoire Crafting Material: Tattered grimoire held by a necromancer."
"7765","爪牙系のクラフト用素材
リンドブルムの鋭い牙。希少品","Fang Crafting Material: Lindwurm's sharp fang. A rare item."
"7766","爪牙系のクラフト用素材
オーガの欠けていない爪。希少品","Fang Crafting Material: Unbroken claw of an Ogre. A rare item."
"7767","骨系のクラフト用素材
スケルトンの乾燥した骨","Bone Crafting Material: Dry bones of a Skeleton."
"7768","骨系のクラフト用素材
獣の骨。運用法はさまざま","Bone Crafting Material: Animal bones. Various ways to use them."
"7769","骨系のクラフト用素材
ワイト（ＬＶ．25～）の怨念が染みた頭蓋","Bone Crafting Material. 
Wight (Level 25~) Skull tainted with Resentment"
"7770","骨系のクラフト用素材
モルトロールの頑健な太骨","Bone Crafting Material: Mole Troll's sturdy femur."
"7771","骨系のクラフト用素材
巨人族の硬く大きな骨","Bone Crafting Material.
Giant's hard and large bones."
"7772","骨系のクラフト用素材
スカルロードの呪われた頭蓋。希少品","Bone Crafting Material.
The cursed skull of the Skull Lord. 
A rare item."
"7773","毛系のクラフト用素材
野生動物の毛。運用法はさまざま","Fur Crafting Material.
Fur from wild animals. 
Various ways to use it."
"7774","毛系のクラフト用素材
オオカミ（ＬＶ．10～）のしなやかな毛","Fur Crafting Material. 
Supple Fur of Wolves (LV. 10~)."
"7775","毛系のクラフト用素材
猿獣のごわごわした毛","Fur Crafting Material. 
Coarse and rough fur from monkey-like animals."
"7776","毛系のクラフト用素材
人喰い鬼人の丈夫な体毛","Fur Crafting Material: Durable fur from the body of a Man-Eating Demon."
"7777","毛系のクラフト用素材
強力な人喰い鬼人（ＬＶ．30～）の剛毛","Fur Crafting Material:
Fortified Fur of a powerful Man-Eating Demon (LV. 30~)"
"7778","毛系のクラフト用素材
グリムワーグなど一般的な魔獣の毛","Fur Crafting Material: Beast Fur from common magical beasts like Grimwargs and Wargs."
"7779","毛系のクラフト用素材
キメラの獅子頭のタテガミ","Fur Crafting Material. 
Chimera Lion's Mane."
"7780","毛系のクラフト用素材
白獅子の純白に輝くタテガミ。希少品","Fur Crafting Material:
A pure white mane that shines like snow. A rare item."
"7781","毛系のクラフト用素材
黒い霧を放つ不吉な獣の毛","Fur Crafting Material: The ominous fur of a beast that emits black mist."
"7782","毛系のクラフト用素材
銀猿鬼の針のような剛毛。希少品","Fur Crafting Material:
The strong fur of a silver monkey demon. A rare item."
