NORMAL_SKILL_INFO_06_92,"魔法弾を放つ
空中でも発動可能","Release a magickal bolt.
Can be activated even while in the air."
NORMAL_SKILL_INFO_06_93,"魔法の罠を敵の足元に展開する
空中でも発動可能","Summon a Magickal Trap at an enemy's feet.
Can be activated even while in the air."
NORMAL_SKILL_INFO_06_94,"マジックボールの弾数と
マジックトラップの範囲を上昇させる
空中でも発動可能","Increases the number of Magick Bolts released and
extends the range of Magick Traps.
Can be activated even while in the air."
NORMAL_SKILL_INFO_06_95,"魔法詠唱中スペルサークルに示される順序で
<PADM>スティック入力<KEYM>マウス移動</KEYM>を行い、魔法の威力を増加させる","Move the <PADM> Right Stick;KEYM>Mouse</KEYM> in
the order shown in the magic circle while casting a spell to increase its power."
NORMAL_SKILL_INFO_06_96,後方にすばやく移動する,Quickly dodge backwards.
NORMAL_SKILL_INFO_06_101,"ジャンプ中の落下速度を抑制し
滞空時間を延長する","Slow your descent while falling, and
extend the duration you stay in the air."
NORMAL_SKILL_INFO_06_102,"しがみついた状態から、敵の体に魔印を刻む
魔印に攻撃を加えると魔法波で敵を攻撃する","While climbing an enemy, place a magickal orb on them
that when attacked, will explode into waves of powerful magick."
NORMAL_SKILL_INFO_07_103,"大剣で斬りつける
攻撃を当てることで連続斬りが可能","Deliver slashes with a large sword.
Landing the first hit will allow further consecutive slashes."
NORMAL_SKILL_INFO_07_104,"大剣で広範囲に対して斬撃を放つ
攻撃を当てることで連続斬りが可能","Deliver slashes over a wide area with a large sword.
Landing the first hit will allow further consecutive slashes."
NORMAL_SKILL_INFO_07_105,"振り上げた大剣に力を溜め、振り下ろす
溜め満了の瞬間にボタンを離すと威力大幅上昇
リベンジゲージ蓄積量に応じて、さらに威力が増加
<COL ffdc78>LV UPでさらに攻撃威力が上昇する
＜真・魔人斬り＞に進化</COL>","Channel energy into the blade, and slam it down.
When the button is released the moment the charge finishes, the damage
increases significantly.
Increases in damage as the Revenge Gauge rises.
<COL ffdc78>LV UP: Increases damage of the skill.
Becomes (Indomitable Lash).</COL>"
NORMAL_SKILL_INFO_07_106,"振り上げた大剣に力を溜め、渾身の力で振り下ろす
溜め満了の瞬間にボタンを離すと威力大幅上昇
リベンジゲージ蓄積量に応じて、さらに威力が増加","Channel energy into the blade, and slam it down with
the force of the entire body. When the button is released the moment the charge
finishes, the damage increases significantly.
Increases in damage as the Revenge Gauge rises."
NORMAL_SKILL_INFO_07_107,"身を固め、敵の攻撃に耐える
攻撃を受けとめるとリベンジゲージが増加する","Steel yourself, and endure an enemy's attack.
Increases the Revenge Gauge a bit when hit by an attack."
NORMAL_SKILL_INFO_07_108,"腰を落とした姿勢で構え、
近接してきた仲間を上方に放りあげる","Hold yourself in a crouched position, and toss
nearby allies into the air."
NORMAL_SKILL_INFO_07_109,空中で大剣の一撃を振るう,Deliver slashes with the blade while in the air.
