old,new,,,
"""古い日記のページが落ちている""","""A page from an old diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",,,
"""筆跡が新しい日記のページが落ちている""","""The handwriting is from a page that has fallen out of a new diary.""",,,
"""筆跡が新しい日記のページが落ちている""","""The handwriting is from a page that has fallen out of a new diary.""",,,
"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",,,
"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",,,
"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",,,
"4部位それぞれで行う――
ということは、残るはあと2ヶ所
真意は分かりかねますが、我々は付き従うのみです","""Do this in each of the four sites""...
That means there are two sites still remaining.
We may not understand the intention behind this, but we tag along regardless.",,,
使用者の体力を回復する,Recovers a portion of the user's health.,,,
癒しの薬,Healing Potion,,,
使用者の体力を回復する,Recovers a portion of the user's health.,,,
癒しの薬・上,Superior Healing Potion,,,
使用者のスタミナを回復する,Recovers a portion of the user's stamina.,,,
ガラエキス,Gala Extract,,,
使用者の状態異常を解消する,"Cures the user of the specified
status debilitations.",,,
毒消しの薬,Antidote,,,
使用者の状態異常を解消する,"Cures the user of the specified
status debilitations.",,,
解印の水薬,Key Insignia Potion,,,
使用者の状態異常を解消する,"Cures the user of the specified
status debilitations.",,,
点眼薬,Eyedrops,,,
使用者の状態異常を解消する,"Cures the user of the specified
status debilitations.",,,
石化下し,Petrification Cure,,,
使用者の状態異常を解消する,"Cures the user of the specified
status debilitations.",,,
万能薬,Panacea,,,
使用者にステータス向上効果を付与する,"Grants the user the
specified status effect.",,,
戦神のお守り,Conqueror's Periapt,,,
使用者にステータス向上効果を付与する,"Grants the user the
specified status effect.",,,
守護神のお守り,Angel's Periapt,,,
使用者にステータス向上効果を付与する,"Grants the user the
specified status effect.",,,
魔神のお守り,Demon's Periapt,,,
使用者にステータス向上効果を付与する,"Grants the user the
specified status effect.",,,
精霊のお守り,Sprite's Periapt,,,
"ドリード城離れにある《宝物殿》の鍵
かつては貴重資料が集められていた","A key that opens the treasury in Dreed Castle.
Various tresures were gathered there.",,,
ドリード宝物庫の鍵,Dreed Treasury Key,,,
"蝶の細工があしらわれた小さな銀の鍵
エルフ族の文字が刻まれている","A small silver key with a butterfly design.
Elven characters are inscribed.",,,
蝶印の小鍵,Small Butterfly Key,,,
修練用,Training,,,
"ガルドノック砦のどこかの鍵
金属部には血色の錆びが浮いている","A key used somewhere in Gardnox Fortress.
Blood is rusting the metal.",,,
オーク将の錆び鍵,Orc General's Rusty Key,,,
捕囚サイクロプス,Captive Cyclops,,,
"ドリード《城主の間》の扉を開く鍵
白竜と盾を模した文様が刻まれている","A key that opens the master chamber in Dreed Castle.
A shield and the White Dragon are engraved.",,,
ドリード城主の鍵,Dreed Master Key,,,
"ドリード城地下、最深部《監獄牢》の鍵
収監された者がどうなったかは不明","A key to the prison underneath Dreed Castle.
You don't know what happened to the prisoners.",,,
監獄牢の鍵,Dungeon Key,,,
"投げつけた対象にダメージと
状態異常【延焼】を与える","Throw this to cause damage on impact.
Causes the ""Caught Fire"" debilitation.",,,
手投げ爆弾,Throwblast,,,
さまようポーン,Lost Pawn,,,
要警戒,Vigilant,,,
使用者の体力を回復する,Recovers a portion of the user's health.,,,
白竜印の霊薬,White Dragon Miracle Cure,,,
凶悪,Brutal,,,
装備しているランタンに着火し、一定時間点灯させる,Used to ignite your lantern for a time.,,,
ランタン火種,Lantern Kindling,,,
使用者のスタミナを回復する,Recovers a portion of the user's stamina.,,,
白竜印ガラエキス,White Dragon Gala Extract,,,
危機的,Dangerous,,,
"鉱脈から素材アイテムを採掘するために必要
一定確率で消耗する","Used to harvest materials from ore veins.
Has a chance to break upon use.",,,
ピッケル,Pickaxe,,,
伝説級,Legendary,,,
"倒木から素材アイテムを採取するために必要
一定確率で消耗する","Used to harvest materials from fallen logs.
Has a chance to break upon use.",,,
伐採ナイフ,Lumber Knife,,,
"鍵付き宝箱を解錠するために必要
一定確率で消耗する","Used to open locked treasure chests.
Has a chance to break upon use.",,,
箱開けピン,Lockpick,,,
八騎喰らい,Yakki Gourmet,,,
百騎喰らい,Hyakki Gourmet,,,
使用者のスタミナを回復する,Recovers a portion of the user's stamina.,,,
ガラエキス・上,Superior Gala Extract,,,
万騎喰らい,Knight Eater,,,
,,,,
ブロンズソード,Bronze Sword,,,
,,,,
ランディングソード,Landing Sword,,,
,,,,
メイス,Mace,,,
,,,,
マクハエラ,Makhaira,,,
,,,,
サウザントトゥループス,Thousand Troops,,,
,,,,
ストロングハチェット,Strong Hatchet,,,
,,,,
アイアンソード,Iron Sword,,,
,,,,
ペルテー,Pelta,,,
,,,,
ストレングス,Strength,,,
,,,,
マスカラーウォール,Muscular Wall,,,
,,,,
ショートボウ,Shortbow,,,
,,,,
ラウンドシールド,Round Shield,,,
,,,,
ストーキングボウ,Stalking Bow,,,
,,,,
ストレイン,Strain,,,
,,,,
