0,,シークレットボーナス！　残り時間《3分》追加！,,ui\00_message\examine_message\quest\quest_examine_q50103000.gmd,\quest\q50103000.arc,q50103000.arc,6,
0,,新たな守備隊が配備された！,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,0,
0,,モゴック本隊が出現した！,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,1,
0,,どこかに強力な魔物が乱入したようだ―,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,2,
0,,宝石喰らいのエサが各地に出現した―,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,3,
0,,乱入者を発見！討伐でアイテムドロップ,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,4,
0,,目標達成！　アイテムを回収しよう,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,5,
0,,シークレットボーナス！　残り時間《3分》追加！,,ui\00_message\examine_message\quest\quest_examine_q50103010.gmd,\quest\q50103010.arc,q50103010.arc,6,
0,,新たな守備隊が配備された！,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,0,Mogok
0,,モゴック本隊が出現した！,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,1,Mogok
0,,どこかに強力な魔物が乱入したようだ―,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,2,Mogok
0,,宝石喰らいのエサが各地に出現した―,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,3,Mogok
0,,乱入者を発見！討伐でアイテムドロップ,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,4,Mogok
0,,目標達成！　アイテムを回収しよう,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,5,Mogok
0,,シークレットボーナス！　残り時間《3分》追加！,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,6,
0,,最奥の魔物が目を覚ましたようだ――,,ui\00_message\examine_message\quest\quest_examine_q50103020.gmd,\quest\q50103020.arc,q50103020.arc,7,
0,,屋上から強力な魔物の気配がする――,,ui\00_message\examine_message\quest\quest_examine_q50104000.gmd,\quest\q50104000.arc,q50104000.arc,0,Zuhl
0,,シークレットボーナス！　残り時間《10分》追加！,,ui\00_message\examine_message\quest\quest_examine_q50104000.gmd,\quest\q50104000.arc,q50104000.arc,1,Zuhl
0,,次なる戦いに備えよ――,,ui\00_message\examine_message\quest\quest_examine_q50105000.gmd,\quest\q50105000.arc,q50105000.arc,0,
0,,最後の戦いに備えよ――,,ui\00_message\examine_message\quest\quest_examine_q50105000.gmd,\quest\q50105000.arc,q50105000.arc,1,
0,,スカージの力に礎が反応している――,,ui\00_message\examine_message\quest\quest_examine_q50201000.gmd,\quest\q50201000.arc,q50201000.arc,0,
0,,スカージの力に礎が反応している――,,ui\00_message\examine_message\quest\quest_examine_q50201001.gmd,\quest\q50201001.arc,q50201001.arc,0,
0,,淀みから戦徒が生み出される――,,ui\00_message\examine_message\quest\quest_examine_q50202000.gmd,\quest\q50202000.arc,q50202000.arc,0,
0,,竜力が集い 新たな竜の姿となる――！,,ui\00_message\examine_message\quest\quest_examine_q50202000.gmd,\quest\q50202000.arc,q50202000.arc,1,
0,,淀みから新たな戦徒が生み出される――,,ui\00_message\examine_message\quest\quest_examine_q50202000.gmd,\quest\q50202000.arc,q50202000.arc,2,
0,,強力な戦徒が生み出される――！,,ui\00_message\examine_message\quest\quest_examine_q50202000.gmd,\quest\q50202000.arc,q50202000.arc,3,
0,,竜力が霧散した――,,ui\00_message\examine_message\quest\quest_examine_q50202001.gmd,\quest\q50202001.arc,q50202001.arc,0,
0,,竜力が満ち 新たな竜の姿となる――！,,ui\00_message\examine_message\quest\quest_examine_q50202001.gmd,\quest\q50202001.arc,q50202001.arc,1,
0,,消えた竜力を求め 魔物が集う――,,ui\00_message\examine_message\quest\quest_examine_q50202001.gmd,\quest\q50202001.arc,q50202001.arc,2,
0,,淀みの影から 魔物が生み出された――,,ui\00_message\examine_message\quest\quest_examine_q50202001.gmd,\quest\q50202001.arc,q50202001.arc,3,
0,,魔物の出現に備えよ――,,ui\00_message\examine_message\quest\quest_examine_q50202002.gmd,\quest\q50202002.arc,q50202002.arc,0,
0,,胞子が一帯に拡がった――,,ui\00_message\examine_message\quest\quest_examine_q50202002.gmd,\quest\q50202002.arc,q50202002.arc,1,
0,,汚染植物が出現した――！,,ui\00_message\examine_message\quest\quest_examine_q50202002.gmd,\quest\q50202002.arc,q50202002.arc,2,
0,,僅かな胞子が、魔物と結びつく――,,ui\00_message\examine_message\quest\quest_examine_q50202002.gmd,\quest\q50202002.arc,q50202002.arc,3,
0,,"特定ジョブの参加により
採取アイテムが出現します",,ui\00_message\examine_message\quest\quest_examine_q50202002.gmd,\quest\q50202002.arc,q50202002.arc,4,
0,,汚染植物が出現した――！,,ui\00_message\examine_message\quest\quest_examine_q50202003.gmd,\quest\q50202003.arc,q50202003.arc,0,
0,,凶暴な魔物を討伐した――,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,0,Gurdolin
0,,魔物が<SPOT 877>村に向かって走り去った――,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,1,Gurdolin
0,,村人避難の支援に成功――タイムボーナス獲得！,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,2,Lise
0,,<NPC 501>が苦戦している――,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,3,Gurdolin
0,,<NPC 13>が苦戦している――,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,4,Gurdolin
0,,<NPC 21>が苦戦している――,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,5,Gurdolin
0,,加勢して撃退するとタイムボーナス,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,6,Gurdolin
0,,タイムボーナス獲得に失敗,,ui\00_message\examine_message\quest\quest_examine_q50203000.gmd,\quest\q50203000.arc,q50203000.arc,7,Gurdolin
0,,邪悪な呪いに護られた魔物が現れた――,,ui\00_message\examine_message\quest\quest_examine_q50203001.gmd,\quest\q50203001.arc,q50203001.arc,0,
0,,全ての呪符を破壊した――,,ui\00_message\examine_message\quest\quest_examine_q50203001.gmd,\quest\q50203001.arc,q50203001.arc,1,
0,,呪符に護られていた魔物が消滅した！,,ui\00_message\examine_message\quest\quest_examine_q50203001.gmd,\quest\q50203001.arc,q50203001.arc,2,
