0,,"ぼく、もっと強くなって
きっと覚者さまを守りますから！","I will become stronger,
and I will definitely protect the Arisen!",ui\00_message\pawn\talk\common\persona06.gmd,\pw_talk\pt_common_persona06.arc,pt_common_persona06.arc,13,
0,,"ぼく、ちゃんと役に立ってますか？
ジョブとかスキルとか、えーと、装備とか――
このままで大丈夫かなぁ","Am I really being useful?
In terms of my job and skills,
err, equipment and all...
I wonder if things will be alright like this.",ui\00_message\pawn\talk\common\persona06.gmd,\pw_talk\pt_common_persona06.arc,pt_common_persona06.arc,14,
0,,"戦いで気になること、ですかい
俺は特にねえが――
覚者様は何かあるんですかい？","What concerns you in battle?
I don't particularly have any...
Lord Arisen, is there something you need?",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,0,
0,,"戦いで気になること？
そりゃあ、高みを目指そうとすれば
思うところはいくらでも出るもんで――","What concerns you in battle?
Well, if you're aiming for greatness,
there are countless things to consider. Yes.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,1,
0,,"戦いで気になること、ですかい
あー、覚者様も気付いちまいましたか
戦いに影響しないよう気遣ったつもりなんですが――
迷いは命取り、ってことですかねぇ","Are you worried about something during combat?
Ah, so you've noticed too, my Lord.
I thought I was being cautious
so as not to be affected during the battle...
But I guess hesitation can be fatal, huh?",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,2,
0,,"覚者様、お忙しいとは思うんですがね
俺の戦い方――主人として、見てて気になること
よかったら、聞かせていただけねえかと思って――
自室のベル、いつでもいいんで鳴らしてくだせえや","My Lord, I understand that you're busy.
However, there's something that concerns me
as your servant and I was wondering
if I could ask you about it.
If it's convenient for you, could you please ring
the bell in your room whenever you have the time?",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,3,
0,,"覚者さまとご一緒できて光栄です
そりゃあもう、これ以上のことはありませんよ
俺たちポーンにとっちゃあ","It is an honor to be able
to accompany an Arisen, Master.
Oh, there is nothing more we Pawns could ask for.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,4,
0,,"覚者さま、体調管理はきっちり頼みますよ
何かあってからじゃあ遅いですからね","Lord Arisen, I will rely on you
to manage your health properly.
It's too late to do something
after something happens.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,5,
0,,"物を作るのぁ、得意なんですけどね
やっぱりこうしてあちこちご一緒できるほうが
腕ぁ鳴りますね","I'm good at making things,
but it's better to work together like this.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,6,
0,,"魔物や任務や、厄介事も
あるでしょうが心配いりません
覚者さまはどーんと構えててくださいよ","There may be enemies, tasks, and nuisances,
but there is no need to worry.
Keep your composure, Arisen.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,7,
0,,"ヘマやらかさないように気ぃつけねぇと
異界送りなんざ目も当てられねぇ――","I have to be careful not to screw up.
I can't even look at it when I'm sent
to the edge of the world...",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,8,
0,,"野外は崖やら沼やらあるんで注意ですよ
高所から落ちでもしたら、どうにもできねぇんで","Be careful in the outdoors,
there are cliffs and swamps.
If you should fall from a great height,
there's nothing we can do about it.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,9,
0,,"そういや、ニュースの方はどうです？
近くに丁度いいクエストでもありゃ
いってみませんか","By the way, how about the news?
There might be a suitable quest nearby.
Why don't we give it a try?",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,10,
0,,"おう、何ですか？
ご命令とあらばいつでも従いますぜ","Yes, what is it?
I'll always follow your order,
and I'll always follow you.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,11,
0,,"俺はほんと、幸せモンですよ
なにせ覚者さまほどの方に
選んでいただいたんですから","I am truly a fortunate person, you know.
Because I was chosen by someone
as esteemed as an Arisen.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,12,
0,,"期待を裏切ることのないよう
精一杯働かせてもらいますぜ！","To ensure that I'll never disappoint
your expectations, I will work my hardest,
I promise!",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,13,
0,,"あぁ――その、俺ぁお役に立ってますか？
転職に技に、身に付けるモンとか
気に入らねぇとこがありゃ言ってくださいよ","Ah, um... Am I helpful to you?
In terms of job change and skills,
what kind of things should I learn?
If there's something you don't like,
please let me know.",ui\00_message\pawn\talk\common\persona07.gmd,\pw_talk\pt_common_persona07.arc,pt_common_persona07.arc,14,
0,,"戦いで気になること？
ふふ――心配してくれているのね、マスター
大丈夫よ、ありがとう","What concerns you in battle?
Hehe, you're worried about me, Master.
Don't worry, I'm fine. Thank you.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,0,
0,,"戦いで気になること、ね――
マスターが気にするほどのことじゃないわ
だから、大丈夫","What bothers you in battle...?
It's not something the Master
needs to worry about.
So don't worry, everything will be fine.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,1,
0,,"戦いで気になること？
あまり、マスターを心配させたくはないのだけど
ちょっと考えていることがあってね――
ああ大丈夫よ、戦いに手は抜かないわ","What concerns you in battle?
I don't want to worry my Master too much,
but there's something I've been thinking about...
Oh, don't worry, I won't hold back in battle.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,2,
0,,"戦いで気になること――
ええ、実は――二人きりの時に話したいことがあるの
よかったら、聞いて下さらない？
自室でベルを鳴らして頂戴ね","Something I'm concerned about in this battle...
Yes, actually, there's something
I want to talk to you about when we're alone.
If it's okay, could you listen to it?
Ring the bell in your room, please.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,3,
0,,"こうしてお傍に仕えることができて
ほんとうに嬉しいわ、マスター
しっかり働かないとね","I am so happy to be able to serve
by your side, Master.
I must work diligently, you know.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,4,
0,,"体調はどう？　無理はやめてくださいね
大事な身体にもしものことがあったら――","How are you feeling?
Please don't overdo it.
If something were to happen
to your precious body--",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,5,
0,,"クラフトでも戦いでも何でも言いつけてね
マスターの為になるなら、
あたしは何だってしますから","Craft, fight, whatever you want.
If it's for the Master, I'll do anything!",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,6,
0,,"どんな敵や困難が来ても
お傍で支えると誓うわ","No matter what enemies or difficulties
come your way, I swear I will stand by your side.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,7,
0,,"敵にやられないよう気をつけるわね
マスターに触れて頂けるのは嬉しいけれど
迷惑かけちゃうし","I'll be careful not to let the enemy get me.
I'm happy to be touched by the Master,
but I'm going to get in trouble.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,8,
0,,"足元、外では気を付けてくださいね
危ないところ、結構多いから
崖とか毒溜めとか――","Be careful where you step, out there.
There are a lot of dangerous places,
like cliffs and poison pits and--",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,9,
0,,"ねぇ、ニュースも見てみません？
道すがら寄れるクエストもあるかもしれないし","Hey, why don't you check the news too?
Maybe there are some quests
we can stop by along the way.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,10,
0,,"ん？　何ですか？
――じっと見られると恥ずかしいわ","Hm? What is it?
... It's embarrassing to be stared at like that.",ui\00_message\pawn\talk\common\persona08.gmd,\pw_talk\pt_common_persona08.arc,pt_common_persona08.arc,11,
