0,,"腕試しとして
エクストリームミッションは最適かもな
気が向いたら参戦してみるといい","Extreme Missions might be perfect
for testing your skills. You should
join if you feel like it.",ui\00_message\quest\q60200009.gmd,\quest\q60200009.arc,q60200009.arc,16,Isaac
0,,"フィンダムを調査中のガルドリン達から
報告が来ているようだ","It seems we've received a report from
Gurdolin and the others investigating Phindym.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,0,Joseph
0,,"共に聞くとしよう――
やれやれ、片時も落ち着けんわ","Let us hear it together then—
Honestly, they never give me a moment's peace.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,1,Joseph
0,,"引き続きガルドリン達が、現地で警戒と監視に
当たってくれるそうだ","Gurdolin and the others will continue to
observe and monitor the area.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,2,Joseph
0,,"おまえは竜の礎の傍にいるアイザックを訪ね
すぐさま準備にとりかかってくれ","You are to visit Isaac near the 
Dragon's Portcrystal and begin 
preparations at once.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,3,Joseph
0,,"来たか――
いつも真面目な顔してご苦労なことだな
期待させたところ悪いが
今回はダンジョンの調査任務は無しだ","Ah, you came. Still wearing
that dutiful expression, I see.
Sorry to let you down—
no recon work today.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,4,Isaac
0,,"代わりに魔物を討伐してきてもらうことになっている
今のお前なら、十分その実力が備わっているだろう
頼んだぞ","Instead, you'll be taking on extermination duty.
Your current abilities should be more than enough.
Prove me right.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,5,Isaac
0,,"新たなコンテンツ《ざわめきし大地》が
解放されました
ジョゼフからクエストを受注してみましょう","The new content ""The Stirring Ground"" has been 
unlocked. Accept the quest from Joseph.",ui\00_message\quest\q60200010.gmd,\quest\q60200010.arc,q60200010.arc,6,Joseph
0,,フィンダムのガラダから急ぎの報せが入っている,"There is an urgent message 
from Gearóid of Phindym.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,0,Joseph
0,,"共に報告を聞くとするか――
やれやれ、片時も落ち着けんわ","Shall we hear the report together? 
Good grief, not a moment's peace.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,1,Joseph
0,,"フィンダムに残された闇が、今もなお
燻り続けているということか――","So the darkness clinging to Phindym 
still smolders—
a dying ember waiting to reignite...",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,2,Joseph
0,,"さあ、竜の礎の傍にいるアイザックを訪ね
すぐさま準備にとりかかってくれ","Seek out Isaac by the Dragon's Portcrystal
and start making ready immediately.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,3,Joseph
0,,"ジョゼフの爺さんも人使いが荒いよな、まったく
お互い苦労するじゃないか、なぁ――","Old man Joseph works us hard, doesn't he? 
Guess we're both suffering here...",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,4,Isaac
0,,"さて、と――
今回の任務も魔物の調査だな
準備ができたらすぐに向かってくれ","Alright then—
this mission's another monster investigation.
Head out when ready.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,5,Isaac
0,,"今回のヤツは相当危険な相手みたいだぜ
くれぐれも気を付けるんだな","This one seems like a pretty dangerous foe. 
Be extra careful.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,6,Isaac
0,,"新たなコンテンツ《蠢きし影》が
解放されました
ジョゼフからクエストを受注してみましょう","The new content ""The Squirming Shadow"" has been 
unlocked. Accept the quest from Joseph.",ui\00_message\quest\q60200011.gmd,\quest\q60200011.arc,q60200011.arc,7,Joseph
0,,"例の島に出現した魔物の調査を手伝っているが
かなりの強敵らしい
まぁ、簡単に倒すことはできないだろうな――","Helping investigate monsters
on that island, huh? They say
they're tough. Well, you won't
bring them down easy—",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,0,Isaac
0,,"手始めに、こちらも強敵に対抗するための
強い武器を作らねばならないようだ","First, we'll need to forge powerful weapons to
stand a chance against such a strong enemy.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,1,Isaac
0,,"準備はいいか？
まず手始めに、最近各地で発見されている
新たなダンジョンの調査をしてもらいたい","Ready? First, I want you to investigate
the newly discovered dungeons that have been
appearing in various regions lately.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,2,Isaac
0,,"これまでの任務で
もしかしたらすでに見つけているかもな","You might have already found some of them
during previous missions.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,3,Isaac
0,,"ここから最も近い調査地に
《アーク　裏層》という場所がある
そこへ行くための詳細はテル村のアルフレドから聞け","The closest investigation site from here
is a place called The Ark's Lower Level.
For details on how to go there, 
ask Alfred in Tel Village.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,4,Isaac
0,,"そして、《アーク　裏層》へ行ったら
そこの最奥にある宝箱を調査してくるんだ
わかったな","Once you reach The Ark's Lower Level, 
investigate the deepest treasure chest.
Understood?",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,5,Isaac
0,,"いいか、目的は《アーク　裏層》へ行って
そこの最奥にある宝箱を調査する――
それだけだ、簡単だろう","Go to The Ark's Lower Level.
Find the treasure chest in the very back.
Simple task.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,6,Isaac
0,,"アークの裏層へ行く方法を確認するためには
まずテル村のアルフレドを訪ねるといいだろう","To learn how to reach the lower levels of The Ark,
you should first visit Alfred in Tel Village.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,7,Isaac
0,,"ふむ、《アーク　裏層》か――
成程、確かにこのエリアで
新たに発見されたダンジョンだ","Hmm, The Ark's Lower Level...
Indeed, it's a newly discovered dungeon
in this area.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,8,Alfred
0,,"以前、貴君に調査してきてもらった
《アーク》の裏側に見つかった新たな入口を
そう呼んでいるな","After your last investigation at The Ark,
we found a new, lower entrance on its back side.
That's why we call it that.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,9,Alfred
0,,"だが、何らかの罠という可能性もある場所だ――
よって、一定の実力を持った覚者にのみ
封鎖を解放することにしているのだ","But it might be a trap― 
So, we're only releasing the blockade 
for Arisen with sufficient strength.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,10,Alfred
0,,"もし、貴君のハイデル平原への貢献度が
ランク13以下であれば、まずはこのエリアでの
働きで、その力を証明してみて欲しい","If your contribution rank in 
the Hidell Plains is below 13, 
prove your worth by working in this area first.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,11,Alfred
0,,"ランク13以上であれば
すでに封鎖は解かれているはずだ
わたしに遠慮することなく
いつでも内部を調査してくれて構わない","If you're rank 13 or higher,
the blockade should be lifted already.
Don't hesitate on my account -
feel free to investigate inside anytime.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,12,Alfred
0,,"《アーク　裏層》は
このハイデル平原への貢献度がランク１３以上の
実力を持つ覚者にのみ解放しているのだ","The Ark's Lower Level is unlocked only
for the Arisen who possess the skill to
achieve Rank 13 or higher in contributing
to the Hidell Plains.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,13,Alfred
0,,"解放を果たしたら、地図で場所を
確認して向かうといい
何らかの罠である可能性もある得体の知れない場所だ
十分に注意して向かってくれ","Once it's unlocked, check the map
and head to the location.
It's an unknown place that might
have traps. Proceed carefully.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,14,Alfred
0,,"ほう、《アーク　裏層》へは無事に行けたのか
なるほど――
では、次は最奥の宝箱を目指すんだ","Hah! You got to The Ark's Lower Level?
Good...
Now head for the innermost treasure chest.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,15,Isaac
0,,"宝箱の調査が終わったら
また俺に声をかけてくれ","Once you finish investigating the chest,
come back and speak to me again.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,16,Isaac
0,,"最奥の宝箱まで辿り着いたのか
お前、探検家の才能もあるんじゃないか？
覚者としてやっていく自信がなくなったら
各地を旅して回るといい","Made it to the innermost chest?
Perhaps you're a born explorer.
If being Arisen gets tough,
consider becoming a traveler.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,17,Isaac
0,,"冗談はおいておくとして
今後の任務を伝えておこう
――簡単に言うと、この調子で
他のダンジョンの宝箱も調査しろってことだ","Jokes aside, let me brief you
on your next mission.
In short: continue like this
and search more dungeon chests.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,18,Isaac
0,,"そうやって集めた素材で武器を強化すれば
例の強敵とも互角に戦えるかもしれないってな
神殿の爺さんが考えそうな地道な策だろ――","If you strengthen your weapons with the materials
gathered, you might stand a 
chance against that foe. 
A fitting plan for the old man at the temple...",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,19,Isaac
0,,"今回俺が紹介した《アーク　裏層》以外にも
各地のエリアランクを上げることで
解放されるダンジョンは多い
エリア情報のチェックも怠るなよ","Raising area ranks unlocks many
dungeons beyond The Ark's Lower Level. 
Always stay updated on Area Information.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,20,Isaac
0,,"次回はさらに難易度の高いダンジョンの
調査依頼が来るだろう
くれぐれも準備をしっかりとして
時が来たと思えばまた俺に話しかけてくれ","Next time, you'll likely receive a request to
investigate an even more difficult dungeon.
Make absolutely sure you're prepared, and
when the time comes, talk to me again.",ui\00_message\quest\q60200012.gmd,\quest\q60200012.arc,q60200012.arc,21,Isaac
0,,そういえば覚者さま、お聞きになりましたか？,"Speaking of which, Master Arisen, have you heard?",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,0,Seneka
0,,"なんでも、腕利き覚者の皆さんに向けた
新たな鍛錬の場が用意されたとか","They say a new training ground has
been prepared for all you skilled Arisen.",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,1,Seneka
0,,"でも、私もまだ聞いたばかりなので
まだ詳しい事は知らないんです","But I only just heard about it myself,
so I don't know the details yet.",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,2,Seneka
0,,"宿場区の酒場にいる
吟遊詩人のシーベルさんがご存じらしいので
ぜひお話を聞いてあげてくださいね！","The Poet Seabell at the tavern in the
Relay Station District seems to know about it.
Please go and hear what he has to say!",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,3,Seneka
0,,"おぉ～　よくぞ来てくださいました！
数々の戦いを潜り抜けてきた
覚者の中の覚者さま！","Ah, you've come at last! 
The famous Arisen who has survived many battles!",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,4,Seabell
0,,"あなたの勇ましさ、風に歌に乗り
このシーベルの耳にも届いていますよ","Your bravery has reached even my humble ears,
carried on the wind and in the songs
of the common people.",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,5,Seabell
0,,"さて、そんなあなたに
お伝えする事があります――","Now, I have something interesting to tell you...",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,6,Seabell
0,,"あなたの次なる冒険譚を紡ぐ場が
新たに用意されましたッ！","A new challenge has been prepared
for you to weave your next tale of adventure!",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,7,Seabell
0,,"己の限界に挑み続けるもよし、
他の覚者と競いあうもよし――","Challenge your limits,
or compete with your fellow Arisen...",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,8,Seabell
0,,"やがていつの日か
あなたの素晴らしい活躍が
人々に語り継がれる事でしょう――","One day I'm sure,
your deeds will be enshrined in the legends...",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,9,Seabell
0,,"シーベルさんは
宿場区の酒場にいらっしゃいます
忘れないでくださいね！","Make sure to remember, Seabell at the inn
in the Relay Station District!",ui\00_message\quest\q60200013.gmd,\quest\q60200013.arc,q60200013.arc,10,Seneka
0,,"さらなるジョブの成長が可能になったようだな
そろそろ新しい成長要素である――
《プレイポイント》について教えよう",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,0,Archibald
0,,"今後は、経験値を
""ジョブレベルの成長""のために
使うのではなく、《プレイポイント》として
獲得するように切り替えることが可能になるぞ",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,1,Archibald
0,,"そうだな――まずは《プレイポイント》の獲得から
""さらなるジョブの成長""までの流れを教えよう
一度試してみてくれ",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,2,Archibald
0,,"さて、さっそくだが
《戦技補佐》画面から《ジョブ》を選択して
経験値からプレイポイントを獲得する
モードに切り替えてみろ",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,3,Archibald
0,,"さっそくだが――
《戦技補佐》画面から《ジョブ》を選択して
経験値からプレイポイントを獲得する
モードに切替を行ってみろ",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,4,Archibald
0,,"プレイポイント獲得モードに切替できたようだな
――この切替えはいつでも可能だ
ジョブレベルが最大になって、経験値が取得
できなくなった時などに切り替えるといいだろう",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,5,Archibald
0,,"では、次にプレイポイントを獲得してみるか
簡単に言うと、今まで通り――
つまり、敵を倒す事で獲得可能だ",,ui\00_message\quest\q60200014.gmd,\quest\q60200014.arc,q60200014.arc,6,Archibald
