0,,状態異常を与えるタイミングも大事じゃな,Timing to inflict status ailments is also important.,ui\00_message\quest\q60200112.gmd,\quest\q60200112.arc,q60200112.arc,22,Rudolfo
0,,攻撃を防御してフォースバーストが基本じゃ,"Defending attacks to build 
Force Burst is fundamental.",ui\00_message\quest\q60200112.gmd,\quest\q60200112.arc,q60200112.arc,23,Rudolfo
0,,敵の動きを見極めることが肝心じゃ,It's crucial to read the enemy's movements.,ui\00_message\quest\q60200112.gmd,\quest\q60200112.arc,q60200112.arc,24,Rudolfo
0,,"ほう、白竜様からの力は受け取っておる
今回もお前さんにこの技を伝えるかどうか
わしに品定めしろということじゃな","Indeed, the White Dragon's might flows through me.
Now I must assess whether you
are ready to inherit this art.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,0,Rudolfo
0,,"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,1,Rudolfo
0,,"――試練の場である＜<STG 581>＞じゃが
<AREA 8>のエリアランクが
足りないと入れんからの
出発前に確認しておくのじゃぞ","--This is the trial ground <<STG 581>>,
but if your Rank in <AREA 8> is not
high enough, you cannot enter.
Check before departing.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,2,Rudolfo
0,,"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,3,Rudolfo
0,,"――試練の場である＜<STG 581>＞じゃが
<AREA 8>のエリアランクが
足りないと入れんからの
出発前に確認しておくのじゃぞ","--This is the trial ground <<STG 581>>,
but if your Rank in <AREA 8> is not
high enough, you cannot enter.
Check before departing.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,4,Rudolfo
0,,"来たか
今回もワシが共に戦場を駆けるとしよう
さらに近くで見定めさせてもらうぞ","You have come.
Once more, I shall join you on the battlefield.
I will observe you closely this time.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,5,Rudolfo
0,,"お前さんの積み重ねてきた""砦""
見せてもらおうかの","Let me see how good a ""shield"" you truly are.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,6,Rudolfo
0,,ほれ、最初の試練が出たぞ,"Look, the first trial is here.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,7,Rudolfo
0,,"その調子じゃ
次は第二の試練の場所へ向かうぞ","Good.
Let us proceed to the second trial.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,8,Rudolfo
0,,見つけたか、これが第二の試練じゃ,You've located it... the second trial awaits.,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,9,Rudolfo
0,,よしよし、次が最後の試練じゃ,"Good, good.
The next one is the final trial.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,10,Rudolfo
0,,これが最後の試練じゃぞ！,This is your last test!,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,11,Rudolfo
