127,uGUI_Credits_9853,SEIKA KORI,SEIKA KORI,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,127
128,uGUI_Credits_9854,MAYUKO MIZUNO,MAYUKO MIZUNO,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,128
128,uGUI_Credits_9854,MAYUKO MIZUNO,MAYUKO MIZUNO,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,128
129,uGUI_Credits_9855,MASATO FUJIURA,MASATO FUJIURA,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,129
129,uGUI_Credits_9855,MASATO FUJIURA,MASATO FUJIURA,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,129
130,uGUI_Credits_9856,MACHI YODA,MACHI YODA,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,130
130,uGUI_Credits_9856,MACHI YODA,MACHI YODA,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,130
131,uGUI_Credits_9857,MAKOTO TSUKAHARA,MAKOTO TSUKAHARA,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,131
131,uGUI_Credits_9857,MAKOTO TSUKAHARA,MAKOTO TSUKAHARA,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,131
132,uGUI_Credits_9858,Animation Manager,Animation Manager,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,132
132,uGUI_Credits_9858,Animation Manager,Animation Manager,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,132
133,uGUI_Credits_9859,SHINYA KOBAYASHI,SHINYA KOBAYASHI,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,133
133,uGUI_Credits_9859,SHINYA KOBAYASHI,SHINYA KOBAYASHI,ui\00_message\ui\uGUI_Credits.gmd,\stage\st0151\st0151.arc,st0151.arc,133
134,uGUI_Credits_9860,@ Environments @,@ Environments @,ui\00_message\ui\uGUI_Credits.gmd,\ui\uGUICredit.arc,uGUICredit.arc,134
