"0","","白竜により、かつて大地から切り離された都
レスタニアとは隔てられた異界に漂い、時の流れも
異なっている。現在は地上で見られなくなった
錬金技術が随所にほどこされ、秘術で生み出された
錬魔は今も亡都を守護している","The city once cut off from the earth by The White Dragon.
Now drifts in a different realm, no longer seen in Lestania.
Time flows differently here.
Alchemized technology, which has disappeared from the surface, is still present throughout, and the city is protected by guardian spirits created through secret spells.","ui\00_message\loading\loading_message_012.gmd","\ui\00_message\loading\loading_message_012.arc","loading_message_012.arc","2"
"0","","突如レスタニアの沖合に出現したフィンダム
大陸の一部。レスタニアに出現した侵食魔も
ここから飛来しており、この絶海の孤島が
“侵食”という脅威に対抗するための手がかりを
秘めていると予測される","Phindym suddenly appeared off the coast of Lestania. 
The invading corrupted creatures from the continent fly in from here.
It is predicted that this isolated island in the vast sea holds clues to opposing the threat of ""corruption.""","ui\00_message\loading\loading_message_013.gmd","\ui\00_message\loading\loading_message_013.arc","loading_message_013.arc","0"
"0","","魔赤島における調査のために自然洞窟を
整備して駐屯地とした
侵食が進む魔赤島において、状態が良く
広さも申し分ない洞窟を発見できたことは
調査隊にとってまさに奇跡的な幸運であった","A natural cave developed and turned into a base camp for the investigation of Bloodbane Isle.
In the rapidly deteriorating island plagued by Corruption, it was truly a miraculous stroke of luck for the research team to discover a cave that was not only in good condition but also spacious enough to meet their needs.","ui\00_message\loading\loading_message_013.gmd","\ui\00_message\loading\loading_message_013.arc","loading_message_013.arc","1"
"0","","魔赤島中心部に位置する侵食の進んだ洞窟
洞窟入口周辺には溢れ出したかのように大量の
菌胞がはびこっている。内部の侵食がかなり
進んでいることは確実であり、慎重を期した
調査が望まれる","Located in the central part of Bloodbane Isle, the cave is heavily corrupted.
In the vicinity of the cave entrance, there is an overwhelming amount of fungal spores spreading.
The internal infection is considerable, and a cautious investigation is desired.","ui\00_message\loading\loading_message_013.gmd","\ui\00_message\loading\loading_message_013.arc","loading_message_013.arc","2"
"0","","魔赤島の北西部、最も高い断崖に近い一帯
何層にも崖が重なったような複雑な地形を
しており、滑落には特に注意が必要","A complex terrain resembling layers of overlapping cliffs found in the northwestern part of Bloodbane Isle.
Special attention must be paid to the risk of falling.","ui\00_message\loading\loading_message_013.gmd","\ui\00_message\loading\loading_message_013.arc","loading_message_013.arc","3"
"0","","魔赤島の北東部、一際標高が高い一帯
空に渦巻く何らかのエネルギー体に
最も近く、赤く照らされている","In the northeastern part of Bloodbane Isle, there is an especially high elevation area, 
where some kind of energy body swirls in the sky close to it and illuminating it in red.","ui\00_message\loading\loading_message_013.gmd","\ui\00_message\loading\loading_message_013.arc","loading_message_013.arc","4"
"0","","フィンダムの中でも特に自然の美しさに恵まれた水林
大半の水がエランより湧き出でているとされており
良質な水を守るために周辺の森林についても厳重に
管理されている","In Phindym, the water forest is particularly blessed with natural beauty. 
Most of its water is said to spring forth from Elan, and to protect the high-quality water, 
the surrounding forests are carefully managed.","ui\00_message\loading\loading_message_014.gmd","\ui\00_message\loading\loading_message_014.arc","loading_message_014.arc","0"
"0","","エラン水林を管理するために設えられた科学者の住居
元は恵まれた環境を保全するという側面が強かったが
現在は侵食の被害をいかに食い止めるかという点に
研究の重点が置かれているようだ","The residence of scientists established to manage the Elan Water Grove. 
Initially, the emphasis was on preserving the rich environment, but now the focus of research seems to be on how to halt the spread of corruption and damage caused by it.","ui\00_message\loading\loading_message_014.gmd","\ui\00_message\loading\loading_message_014.arc","loading_message_014.arc","1"
"0","","<COL ffdc78>【財宝】の扉あり</COL>
エラン水林西部にある自然洞窟
陽光の差し込む場所がいくつかあり、小さな虹が舞う
ような幻想的な光景が見られることがあるという
かつては周辺住人にも親しまれた場所であった","<COL ffdc78> 【Treasure】Door</COL>
A natural cave located in the western part of Elan Water Grove. 
There are several places where sunlight filters through, creating a fantastical scene with small rainbows dancing in the air. This place used to be beloved by the local residents.","ui\00_message\loading\loading_message_014.gmd","\ui\00_message\loading\loading_message_014.arc","loading_message_014.arc","2"
"0","","《<SPOT 931>》の傍にある、大きな滝に
面した広場。地名の由来は滝に虹がかかる
ことからという説の他に、色鮮やかな鳥達が
辺りを舞うからだという説もある","A plaza facing a large waterfall beside<SPOT 931>. 
The origin of the name of the place is said to be the rainbow over the waterfall as well as the brightly colored birds dancing around the area.","ui\00_message\loading\loading_message_014.gmd","\ui\00_message\loading\loading_message_014.arc","loading_message_014.arc","3"
"0","","フィンダム大陸中部に広がる平原
起伏が多いフィンダムにおいて、ファーラナ平原は
なだらかで活用しやすい地形をしている
また、他の地域と比較すると侵食の度合は
緩やかなようで侵食魔の数も少ない","The Farana Plains, located in the central part of the Phindym continent, are characterized by gently rolling terrain, making them easy to utilize in the varied landscape of Phindym.
Furthermore, compared to other regions, the level of corruption is relatively low, resulting in fewer corrupted creatures.","ui\00_message\loading\loading_message_015.gmd","\ui\00_message\loading\loading_message_015.arc","loading_message_015.arc","0"
