"0","","さて、次はいよいよ
第二防衛区画の攻略を始めるとしよう！","さて、次はいよいよ
第二防衛区画の攻略を始めるとしよう！","ui\00_message\quest\q10310601.gmd","\quest\q10310601.arc","q10310601.arc","87"
"0","","なぁに
隊長はその辺の棒切れの数でも
数えてくれてるといい！","なぁに
隊長はその辺の棒切れの数でも
数えてくれてるといい！","ui\00_message\quest\q10310601.gmd","\quest\q10310601.arc","q10310601.arc","88"
"0","","「フカフカしたモノの中」から
杖のようなものを見つけた！","「フカフカしたモノの中」から
杖のようなものを見つけた！","ui\00_message\examine_message\quest\quest_examine_q10310601.gmd","\quest\q10310601.arc","q10310601.arc","0"
"0","","「四角いモノの中」から棒状の物を見つけた！","「四角いモノの中」から棒状の物を見つけた！","ui\00_message\examine_message\quest\quest_examine_q10310601.gmd","\quest\q10310601.arc","q10310601.arc","1"
"0","","「メラメラしたモノの中」から輝く物を見つけた！","「メラメラしたモノの中」から輝く物を見つけた！","ui\00_message\examine_message\quest\quest_examine_q10310601.gmd","\quest\q10310601.arc","q10310601.arc","2"
"0","","お、隊長！
いいところに来たね","お、隊長！
いいところに来たね","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","0"
"0","","実は今、《第二防衛区画》を攻略する作戦を
立てていたところなんだけど
ちょっと困ったことがあってね","実は今、《第二防衛区画》を攻略する作戦を
立てていたところなんだけど
ちょっと困ったことがあってね","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","1"
"0","","それを解決できるかもしれない
“あるもの”を探してるんだ","それを解決できるかもしれない
“あるもの”を探してるんだ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","2"
"0","","僕はここを離れられないし
隊長、手伝ってもらえないかな？","僕はここを離れられないし
隊長、手伝ってもらえないかな？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","3"
"0","","そうか、ありがとう！
隊長なら、絶対断らないと思ってたよ！","そうか、ありがとう！
隊長なら、絶対断らないと思ってたよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","4"
"0","","なぁに、ちょっとした“宝探し”みたいなものでね
ゆるい気持ちで取り組んでもらうといい","なぁに、ちょっとした“宝探し”みたいなものでね
ゆるい気持ちで取り組んでもらうといい","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","5"
"0","","詳しくは後で説明するよ！","詳しくは後で説明するよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","6"
"0","","まずは、奪還作戦の現在の状況から説明しておこう","まずは、奪還作戦の現在の状況から説明しておこう","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","7"
"0","","《第一の門》を奪還したまでは良かったんだが
その門を開けての第二防衛区画攻略は
少々難しくてね","《第一の門》を奪還したまでは良かったんだが
その門を開けての第二防衛区画攻略は
少々難しくてね","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","8"
"0","","当然、こちらから開けることは出来ないし
《集会場》に置いてあった“攻城槌”を使って
無理やりこじ開けることも考えたが――","当然、こちらから開けることは出来ないし
《集会場》に置いてあった“攻城槌”を使って
無理やりこじ開けることも考えたが――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","9"
"0","","こちらに十分な戦力がない以上
正面からの突破は逆に危険だ","こちらに十分な戦力がない以上
正面からの突破は逆に危険だ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","10"
"0","","まだ多数の残党が予想されるし
やはりここはまずこっそり潜入して
敵の状況を把握しておきたい","まだ多数の残党が予想されるし
やはりここはまずこっそり潜入して
敵の状況を把握しておきたい","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","11"
"0","","《第二防衛区画》へは、いつも通り古井戸を利用して
潜入したいんだけど――","《第二防衛区画》へは、いつも通り古井戸を利用して
潜入したいんだけど――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","12"
"0","","今、手元にあるのは
《第一防衛区画の古井戸の地図》だけでね
それ以外の区画の情報がないんだ","今、手元にあるのは
《第一防衛区画の古井戸の地図》だけでね
それ以外の区画の情報がないんだ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","13"
"0","","すまないが隊長、これから攻略する
《第二防衛区画の古井戸の地図》を
探してもらえないかな？","すまないが隊長、これから攻略する
《第二防衛区画の古井戸の地図》を
探してもらえないかな？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","14"
"0","","城内のどこかにはあるはずなんだけど
敵に占拠されて荒らされたせいで
見つからなかったんだ","城内のどこかにはあるはずなんだけど
敵に占拠されて荒らされたせいで
見つからなかったんだ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","15"
"0","","何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ","何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","16"
"0","","少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！","少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","17"
"0","","何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ","何か知ってそうなのは――サムエルかな
彼は兵士としてはかなりの古株だからね
ボクなんかよりずっと大先輩さ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","18"
"0","","少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！","少々気難しい性格なんだけど――
ボクとまともに会話できている隊長なら
たぶん大丈夫さ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","19"
"0","","――――","――――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","20"
"0","","む――覚者殿
――何か用か？","む――覚者殿
――何か用か？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","21"
"0","","《古井戸の地図》を探しているとな？","《古井戸の地図》を探しているとな？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","22"
"0","","――――","――――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","23"
"0","","心当たりは、ないな","心当たりは、ないな","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","24"
"0","","ソネル様が見つけられなかったなら
わしにも分からん","ソネル様が見つけられなかったなら
わしにも分からん","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","25"
"0","","む――他に知ってそうな人物は
いないか、だと？","む――他に知ってそうな人物は
いないか、だと？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","26"
"0","","――――","――――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","27"
"0","","わしより古くこの城にいる者は
そうはおらん","わしより古くこの城にいる者は
そうはおらん","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","28"
"0","","ただ――","ただ――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","29"
"0","","最近、若い盗賊の娘が
城内をウロウロしておる","最近、若い盗賊の娘が
城内をウロウロしておる","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","30"
"0","","害はなさそうだが
あちこち物色してる姿をよく見かける","害はなさそうだが
あちこち物色してる姿をよく見かける","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","31"
"0","","どこかでその《古井戸の地図》を
見かけてないとも限らん","どこかでその《古井戸の地図》を
見かけてないとも限らん","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","32"
