0,TUTORIAL_STEP_686,"カスタムメイド工房での<COL ffdc78>《武具のリミット解除》</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された武器や防具
　②素材やリムなどの必要な費用

また、付与される性能は
<COL ffdc78>リミット解除を試すたびに上書きされる</COL>ため
成功時に付与される性能例を
確認しながら行いましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step384.gmd,\tguide\tutorial_guide_384.arc,tutorial_guide_384.arc,0
0,TUTORIAL_STEP_687,"カスタムメイド工房内にある<COL ffdc78>武具の極限合成</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された<COL ffdc78>特定の武器</COL>
　　（プリズムアイコンのもの：画像参照）
　②素材やリムなどの必要な費用
",,ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,0
1,TUTORIAL_STEP_691,"極限合成は通常の強化とは異なり
大幅に攻撃性能を高めることができます

各武器につき、最初の１回目は
必要な素材とリムで極限合成することができます

すでに極限合成を試したことのある武具に
<COL ffdc78>ふたたび極限合成を試みる場合は
リムではなく《黄金石》が必要です</COL>",,ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,1
2,TUTORIAL_STEP_692,"また、何度も極限合成を試みる場合は
そのたびに<COL ffdc78>性能が上書きされるため</COL>
成功時に付与される性能例を
しっかりと確認しながら行いましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,2
0,TUTORIAL_STEP_700,"白竜神殿に設置されている
<COL ffdc78>《スペシャルクエストボード》</COL>は
高難易度かつ高報酬の依頼が掲示されている
特殊なクエストボードです

また、すべての依頼をこなすと
依頼内容がリロードされるという特徴があります

※1日でリロードされる回数には上限があります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step386.gmd,\tguide\tutorial_guide_386.arc,tutorial_guide_386.arc,0
1,TUTORIAL_STEP_701,"通常のボードクエストと同じく
黄金石を使って一括クリアすることも可能です

※一括クリアしても依頼内容はリロードされますが
　一括クリアするごとに、次に必要な黄金石の量が
　増えていきます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step386.gmd,\tguide\tutorial_guide_386.arc,tutorial_guide_386.arc,1
0,TUTORIAL_STEP_721,"ハイセプターは、魔道剣による攻撃と
魔印を付与することで敵から魔力を奪い、
多彩な魔法へと転換しながら戦う
剣と魔法の使い手です

＜基本操作＞
　【<KC ATTACK1>】 四連斬（剣による連続攻撃）
　【<KC ATTACK2>】 ルイン・ショット（魔法弾）",,ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,0
1,TUTORIAL_STEP_731,"<COL ffdc78>ウィル・マーカー</COL>は１体の敵に
魔印を付与することができます

　【<KC WEAPON_SUB>+<KC MARK_SHOT>】 ウィル・マーカー
　　　　　　　　（魔力を吸収する魔印を付与する）

<COL ffdc78>魔印を付与した敵を魔道剣で攻撃すると
魔印が成長し、魔力の吸収量が増加します</COL>

また、魔印が最大まで成長すると一部のスキル性能が
上がるなどの恩恵もあります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,1
2,TUTORIAL_STEP_780,"ただし、魔印は継続して攻撃をしていないと
徐々に減退し、魔力吸収量も減ってしまいます
また、ダメージを受けて体勢を崩された際も
減退しやすい性質を持っています

魔印を付与した敵を倒した時には
魔力を多く得られメリットもあるため
敵の攻撃をかわしつつ
積極的に魔印を付与した敵を狙っていきましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,2
0,TUTORIAL_STEP_722,"敵から魔力を吸収すると、<COL ffdc78>《魔力ゲージ》</COL>が溜まり
１本ゲージが溜まるごとに<COL ffdc78>《魔力スタック》</COL>が
１つ増加します

溜めた魔力は以下の２種の魔法として使用します
<COL ffdc78>《純魔法》</COL>　…魔力スタックを消費する高威力の魔法
<COL ffdc78>《補助魔法》</COL>　…魔力ゲージを消費するサポート魔法",,ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,0
1,TUTORIAL_STEP_732,"【<KC OVER_BRADE>】ルイン・ブレード
　　　　　　　（魔力を込めた剣を放つ純魔法）
【<KC SKILL_NORMAL1>】 バック・リープ
　　　　　　　（後方に高速で移動する補助魔法）
【<KC SKILL_NORMAL1>】 リターン・シフト
　　　　　　　（高速で敵に接近する）

※バック・リープは敵に密着した状態で使用すると
　発動し、次にリターン・シフトに切り替わります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,1
2,TUTORIAL_STEP_794,"補助魔法を使い、敵との間合いを近距離と遠距離で
即座に切り替えられる点も
ハイセプターの強みと言えるでしょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,2
0,TUTORIAL_STEP_33,"画面右上の<COL ffdc78>《ミニマップ》</COL>で
「プレイヤーの位置」と「敵の位置」が
すぐに確認できます

<COL ffdc78>中央緑のカーソルがあなたの現在地
小さな丸が敵の位置です</COL>

倒すべき敵の位置を把握しましょう","On the upper-right corner of the screen you will find
the <COL ffdc78>""Mini Map""</COL>. Here you can quickly see
your position and the position of enemies.

<COL ffdc78>The green circle at the center is your current location,
and small circles represent enemies</COL>

Use it to decide who to attack.",ui\00_message\tutorial_guide\steps\tutorial_guide_step39.gmd,\tguide\tutorial_guide_39.arc,tutorial_guide_39.arc,0
1,TUTORIAL_STEP_32,"ミニマップのサイズや縮尺はいつでも変更できます
状況に合わせて切替えましょう

＜サイズ変更＞
　【<KC UI_MINIMAP>】＋【<KC UI_MINIMAP_SCALING>】で切替
＜縮尺変更＞
　【<KC UI_MINIMAP>】+【<KC UI_MAP_ZOOM_IN>／<KC UI_MAP_ZOOM_OUT>】で変更
＜位置固定＞
　【<KC UI_MINIMAP>】+【<KC UI_MINIMAP_LOCK>】で固定","You can change the size and zoom of the ""Mini Map""
at any time. Change it according to the situation.

""Resizing""
Change Size with [<KC UI_MINIMAP>]+[<KC UI_MINIMAP_SCALING>]
""Zooming""
Change Zoom with [<KC UI_MINIMAP>]+[<KC UI_MAP_ZOOM_IN>／<KC UI_MAP_ZOOM_OUT>]
""Fixing Position""
Fix the Mini Map with [<KC UI_MINIMAP>]+[<KC UI_MINIMAP_LOCK>]",ui\00_message\tutorial_guide\steps\tutorial_guide_step39.gmd,\tguide\tutorial_guide_39.arc,tutorial_guide_39.arc,1
0,TUTORIAL_STEP_723,"ハイセプターは、
剣による近距離戦と魔法による遠距離戦の
両方をこなせるバランスに優れたアタッカーです

魔力を消費することで発動できる純魔法は強力なので
適切なタイミングを見極めて使用しましょう

魔力がない時には、性能を十分に発揮できないので
ゲージの管理には気を付けて立ち回りましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step390.gmd,\tguide\tutorial_guide_390.arc,tutorial_guide_390.arc,0
0,TUTORIAL_STEP_725,"フィールドには、<COL ffdc78>プレイヤーが操作可能な大砲</COL>が
設置されていることがあります

砲身に<COL ffdc78>《王家の紋章》</COL>が装飾されているので
見つけた際には積極的に活用しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,0
1,TUTORIAL_STEP_726,"大砲では、砲弾による強力な攻撃が可能です

＜基本操作＞
【<PADM>右スティック<KEYM>マウス移動</KEYM>】　照準を合わせる
【<KC TOUCH>】　砲弾を発射する

※発射後、砲弾は自動でリロードされます

また、砲弾による攻撃は、戦甲種の《戦甲》や
破壊可能な扉、敵陣の旗の破壊に
有効な手段となります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,1
2,TUTORIAL_STEP_773,"大砲には<COL ffdc78>耐久力</COL>があります
耐久力はゲージで表示されています

敵から攻撃を受けることで耐久力が減少し、
耐久力がなくなると大砲が壊れて使用ができなくなります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,2
0,TUTORIAL_STEP_727,"<COL 78f5ff>絶望の大陸 第三節：「王都の決戦」到達！</COL>

　“ひととき目覚めた精霊竜の力に支えられ
　　覚者は黒き刃を退けた

　　展望城に引き続き奪還したは
　　王家の栄華そのものである城塞都市メガド

　　しかし巨大な都の全てを守るには
　　彼の腕はまだか弱く小さい――”",,ui\00_message\tutorial_guide\steps\tutorial_guide_step392.gmd,\tguide\tutorial_guide_392.arc,tutorial_guide_392.arc,0
