0,,"――《<SPOT 914>》の近くには
《<SPOT 959>》という
人の住まう塔がある","Near <SPOT 914>, there is a tower inhabited by people called <SPOT 959>.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,75
0,,"――ああ、あなた
何かご用でも？",I'm here to help with something?,ui\00_message\npc\base\n2957.gmd,\npc\n2957.arc,n2957.arc,2
0,,"――お前さん
自分だけは強いから
遺跡の災いも怖くないと思ってるんじゃないか？
思い上がりだぞ、それは",You think you can just waltz in here thinking you're invincible because you have the relics' power? That's being arrogant.,ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,5
0,,"――という話もあるんだぞ
古い場所には近寄らないことだ",There's a saying that you shouldn't approach the old places.,ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,4
0,,"――ハァ
い、いえ、何でもありません！
申し訳ございません","Oh, um, never mind! I'm sorry.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,1
0,,"――腹でも減ったのか？
そこにある魚をつまんでいってもいいぞ
焼いただけだが、味は保障する","Are you hungry? You can have some of the fish over there. They're just roasted, but the taste is guaranteed.",ui\00_message\npc\base\n2909.gmd,\npc\n2909.arc,n2909.arc,1
0,,"“立派な大人”たちは、ほら――
頭が固いんだよな
ああはなりたくないよ","""Respected adults"" are often quite stubborn. I hope I don't become like that.",ui\00_message\npc\base\n2702.gmd,\npc\n2702.arc,n2702.arc,3
0,,"“芯なる樹”はいつだってきれいだって
思ってたけど――この空の色だと
あんまりきれいに見えない――","I always thought the ""Core Tree"" was beautiful, but the sky's color doesn't make it look as pretty.",ui\00_message\npc\base\n2708.gmd,\npc\n2708.arc,n2708.arc,7
0,,"《<SPOT 947>》の近くを通ることがあれば
魔物を追い払ってくれるよう
頼めないだろうか","If you happen to pass by near <SPOT 947>, could you please help drive away the monsters?",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,41
0,,"《<SPOT 953>》――元は大地に
季節の感謝を表す舞踊を奉じる場だったのだ
最近は魔物の凶暴性が高まったがゆえに
安全を考えて中止されていたが――","<SPOT 953> was originally a place to perform seasonal gratitude dances to the land. However, it had to be canceled recently due to an increase in the ferocity of the monsters.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,82
0,,"《シェレドアン大神殿》は一因にすぎないと
すれば、どこかに魔族がやってくる
元凶となる場があるはずなのだが――
今のところ見つかっていない","The ""Sheredan Grand Temple"" is only one factor. There must be a place where the demons come from, the root cause. But it hasn't been found yet.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,68
0,,"《展望城》――アッカーシェランの国民としても
わたし個人としても、大変思い入れの深い場所です","""Prospect Castle"" – it's a place I hold dear as a citizen of Aqershelan and as an individual.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,10
0,,"《弱化の治療》か
いや、できるんだが俺たちのルールで
<VAL PRICE_WEAK>もらうことにしてるんだ
手持ちはあるのか？","""Weakening Treatment,"" you say? Well, I can do it, but we've decided to charge <VAL PRICE_WEAK> for it according to our rules. Do you have enough on hand?",ui\00_message\npc\base\n2953.gmd,\npc\n2953.arc,n2953.arc,7
0,,"《弱化の治療》には
<VAL PRICE_WEAK>いただきますよ
なにぶん、物資も限られていますからね
治療をお望みですか？","I'd like to request a ""Weakening Treatment,"" for which I'll pay <VAL PRICE_WEAK>. We have limited resources, after all. Would you like to receive treatment?",ui\00_message\npc\base\n2750.gmd,\npc\n2750.arc,n2750.arc,7
0,,"あ、ああ
覚者さんか、いらっしゃい","Oh, you're a Reveler! Welcome.",ui\00_message\npc\base\n2702.gmd,\npc\n2702.arc,n2702.arc,4
0,,"あ、覚者様じゃないですか
何のご用でしょうか","Oh, you're not a Reveler. What can I do for you?",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,0
0,,"ああ――異国の覚者ね
何の用かしら","Oh, you're a Reveler from a foreign land. What do you need?",ui\00_message\npc\base\n2701.gmd,\npc\n2701.arc,n2701.arc,0
0,,"ああ、ボーデシアに話をしに行くのであれば
俺にもう一度話しかけてほしい
責任を持って取り次がせてもらおう","Ah, if you're going to talk to Bodessia, please talk to me again. I'll make sure to relay it responsibly.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,46
0,,"ああ、怖い、どうしましょう
この気味が悪い空の色――","Ah, this is scary. What should we do about this eerie sky color?",ui\00_message\npc\base\n2707.gmd,\npc\n2707.arc,n2707.arc,6
0,,"あたしらなんかは
ママから生まれたわけじゃないけどさ
そういうことじゃないだろ、家族の絆って","We're not born from mothers, but that's not what makes a family.",ui\00_message\npc\base\n2950.gmd,\npc\n2950.arc,n2950.arc,2
0,,"あっ、覚者さん
どうしたの？","Oh, Reveler, what's wrong?",ui\00_message\npc\base\n3056.gmd,\npc\n3056.arc,n3056.arc,2
0,,"あなたも外が怖いなら
ずっとロスギルにいてもいいよ！","If you're also afraid of the outside, you're welcome to stay in Rosgil!",ui\00_message\npc\base\n2908.gmd,\npc\n2908.arc,n2908.arc,3
0,,"あのさ――これで終わりなんかじゃないよな
フィンダムは――まだ、なんとかなるよな
頼むよ、そうだって言ってくれ","Hey, about that... this can't be the end, right? Findum... there has to be a way. Please, tell me it's true.",ui\00_message\npc\base\n2702.gmd,\npc\n2702.arc,n2702.arc,7
0,,"あのさ、この村で建設的な話ができるのは
マヴェイル兄貴だけだぜ！
――俺はそう思ってる！","Listen, there's no one else in this village I can have a constructive conversation with except for my big brother Mavayl. That's what I think.",ui\00_message\npc\base\n2702.gmd,\npc\n2702.arc,n2702.arc,2
0,,"あの場に魔物がとどまっているせいで
南東の遺跡の調査に進めない状態なのだ",We can't continue with the investigation of the southeastern ruins because monsters are lingering at that site.,ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,40
0,,"あの渦を見ろ！
はやくどうにかしてくれ！","Look at that vortex! Please, do something about it soon!",ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,6
0,,"あら――
既に別のミッションを受注されているみたいですね","Oh, you already have another mission? It seems so.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,43
0,,"あれ？　この村の人じゃない人だ
こんにちは",Huh? You're not from this village. Hello.,ui\00_message\npc\base\n2908.gmd,\npc\n2908.arc,n2908.arc,0
