#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"しかしまぁ、見るからに感電しそうな湖です
対策なり治療法なりがなきゃ、難儀しそうだ","しかしまぁ、見るからに感電しそうな湖です
対策なり治療法なりがなきゃ、難儀しそうだ",ui\00_message\pawn\talk\stage\feature0006\persona07.gmd,\pw_talk\pt_feature0006_persona07.arc,pt_feature0006_persona07.arc,4
0,,"綺麗な森と湖よね――
トカゲが多いのが玉にキズだけど","綺麗な森と湖よね――
トカゲが多いのが玉にキズだけど",ui\00_message\pawn\talk\stage\feature0006\persona08.gmd,\pw_talk\pt_feature0006_persona08.arc,pt_feature0006_persona08.arc,0
0,,"マスター、探索の時は
浅瀬を渡っていきません？
足首がひんやりして気持ちいいし","マスター、探索の時は
浅瀬を渡っていきません？
足首がひんやりして気持ちいいし",ui\00_message\pawn\talk\stage\feature0006\persona08.gmd,\pw_talk\pt_feature0006_persona08.arc,pt_feature0006_persona08.arc,1
0,,"森民の住居――
この辺りにある古い遺跡群は、そんな風に
呼ばれていたそうよ","森民の住居――
この辺りにある古い遺跡群は、そんな風に
呼ばれていたそうよ",ui\00_message\pawn\talk\stage\feature0006\persona08.gmd,\pw_talk\pt_feature0006_persona08.arc,pt_feature0006_persona08.arc,2
0,,"かなり森の奥深くだもの
獣だって強力なのがうようよいるでしょう
まぁ、さらに南はもっとでしょうけど――","かなり森の奥深くだもの
獣だって強力なのがうようよいるでしょう
まぁ、さらに南はもっとでしょうけど――",ui\00_message\pawn\talk\stage\feature0006\persona08.gmd,\pw_talk\pt_feature0006_persona08.arc,pt_feature0006_persona08.arc,3
0,,"さすがに、ミスリウじゃあまり見ない
動植物が多そうね
いい素材も手に入るかもしれません","さすがに、ミスリウじゃあまり見ない
動植物が多そうね
いい素材も手に入るかもしれません",ui\00_message\pawn\talk\stage\feature0006\persona08.gmd,\pw_talk\pt_feature0006_persona08.arc,pt_feature0006_persona08.arc,4
0,,"深き古の森ディナン――
樹木の一つ一つがまるで巨大な塔ですね","深き古の森ディナン――
樹木の一つ一つがまるで巨大な塔ですね",ui\00_message\pawn\talk\stage\feature0007\persona01.gmd,\pw_talk\pt_feature0007_persona01.arc,pt_feature0007_persona01.arc,0
0,,"ミスリウ森林以上に、ここは森民の
なごりが強い場所です
遺跡もきっと、その分多く残っているでしょう","ミスリウ森林以上に、ここは森民の
なごりが強い場所です
遺跡もきっと、その分多く残っているでしょう",ui\00_message\pawn\talk\stage\feature0007\persona01.gmd,\pw_talk\pt_feature0007_persona01.arc,pt_feature0007_persona01.arc,1
0,,"ここは変わったキノコや木材、鉱石が
たくさん採れそうですね","ここは変わったキノコや木材、鉱石が
たくさん採れそうですね",ui\00_message\pawn\talk\stage\feature0007\persona01.gmd,\pw_talk\pt_feature0007_persona01.arc,pt_feature0007_persona01.arc,2
0,,"木立一つ隔てた向こうには
強力な魔物が潜んでいるかもしれません
ご注意ください","木立一つ隔てた向こうには
強力な魔物が潜んでいるかもしれません
ご注意ください",ui\00_message\pawn\talk\stage\feature0007\persona01.gmd,\pw_talk\pt_feature0007_persona01.arc,pt_feature0007_persona01.arc,3
0,,ミスリウの森とはかなり雰囲気が違いますね,ミスリウの森とはかなり雰囲気が違いますね,ui\00_message\pawn\talk\stage\feature0007\persona01.gmd,\pw_talk\pt_feature0007_persona01.arc,pt_feature0007_persona01.arc,4
0,,"ディナン深層林、
さすが秘境というだけあります――","ディナン深層林、
さすが秘境というだけあります――",ui\00_message\pawn\talk\stage\feature0007\persona02.gmd,\pw_talk\pt_feature0007_persona02.arc,pt_feature0007_persona02.arc,0
0,,"も、ものすごく樹が大きいですね
神殿の柱みたい――","も、ものすごく樹が大きいですね
神殿の柱みたい――",ui\00_message\pawn\talk\stage\feature0007\persona02.gmd,\pw_talk\pt_feature0007_persona02.arc,pt_feature0007_persona02.arc,1
0,,"この辺りで採れるキノコやハーブ、
なんだかとても効きそうですね","この辺りで採れるキノコやハーブ、
なんだかとても効きそうですね",ui\00_message\pawn\talk\stage\feature0007\persona02.gmd,\pw_talk\pt_feature0007_persona02.arc,pt_feature0007_persona02.arc,2
