#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,,"覚者よ
新たな力を受け入れる器となったか――
我が元へ来るがいい","覚者よ
新たな力を受け入れる器となったか――
我が元へ来るがいい",ui\00_message\quest\q60200001.gmd,\quest\q60200001.arc,q60200001.arc,5
0,,"おお、丁度良いところに
今しがた伝令兵から緊急の連絡がきた","おお、丁度良いところに
今しがた伝令兵から緊急の連絡がきた",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,0
0,,詳しいことは彼から聞いてみてくれ,詳しいことは彼から聞いてみてくれ,ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,1
0,,いいか、オフィリアの横にいるアイザックという男だ,いいか、オフィリアの横にいるアイザックという男だ,ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,2
0,,"――俺がアイザックだ
とうとう俺が神殿のために働くとはな","――俺がアイザックだ
とうとう俺が神殿のために働くとはな",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,3
0,,"例の島で発見された魔物――
そういった新たな脅威に備え
お前にいくつかの任務を与えることになったそうだ","例の島で発見された魔物――
そういった新たな脅威に備え
お前にいくつかの任務を与えることになったそうだ",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,4
0,,"ふふふふ、その過程でお前が
何を見ることになるかまでは
俺は関知しないがな――","ふふふふ、その過程でお前が
何を見ることになるかまでは
俺は関知しないがな――",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,5
0,,"まずは旅に出るための準備を整えてくるんだな
話はそれからにしようじゃないか","まずは旅に出るための準備を整えてくるんだな
話はそれからにしようじゃないか",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,6
0,,"新たなコンテンツ《戦技の継承》と
《魔の足音》が解放されました","新たなコンテンツ《戦技の継承》と
《魔の足音》が解放されました",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,7
0,,"《戦技の継承》は白竜から
《魔の足音》はジョゼフから
それぞれクエストを受注してみましょう","《戦技の継承》は白竜から
《魔の足音》はジョゼフから
それぞれクエストを受注してみましょう",ui\00_message\quest\q60200002.gmd,\quest\q60200002.arc,q60200002.arc,8
0,,"禊の神殿を監視しているヴァネッサから
使いの者が来ているようだ","禊の神殿を監視しているヴァネッサから
使いの者が来ているようだ",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,0
0,,"共に報告を聞くとするか――
やれやれ、片時も落ち着けんわ","共に報告を聞くとするか――
やれやれ、片時も落ち着けんわ",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,1
0,,"新たなコンテンツ《混沌の兆し》が
解放されました
ジョゼフからクエストを受注してみましょう","新たなコンテンツ《混沌の兆し》が
解放されました
ジョゼフからクエストを受注してみましょう",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,2
0,,"さあ、竜の礎の傍にいるアイザックを訪れ
すぐさま準備にとりかかってくれ","さあ、竜の礎の傍にいるアイザックを訪れ
すぐさま準備にとりかかってくれ",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,3
0,,"よう、今回もまたダンジョンの調査任務だ
そう嫌そうな顔をするなよ","よう、今回もまたダンジョンの調査任務だ
そう嫌そうな顔をするなよ",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,4
0,,"お前をどうしても鍛え上げたいってやつらの
思惑で動いてるのさ
――それが凶と出るか吉と出るか
誰にもわかっちゃいないがな","お前をどうしても鍛え上げたいってやつらの
思惑で動いてるのさ
――それが凶と出るか吉と出るか
誰にもわかっちゃいないがな",ui\00_message\quest\q60200003.gmd,\quest\q60200003.arc,q60200003.arc,5
0,,"あ、そうだ
お前に言っときたいことがあってさ――
《プレイポイント》の使い道についてなんだけど","あ、そうだ
お前に言っときたいことがあってさ――
《プレイポイント》の使い道についてなんだけど",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,0
0,,"実は――《プレイポイントショップ》で
《至高の戦功勲章》ってのを扱い始めたんだ","実は――《プレイポイントショップ》で
《至高の戦功勲章》ってのを扱い始めたんだ",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,1
0,,"これ、結構スゴい代物みたいなんだよ
まさに、選ばれし覚者しか手にできない
逸品って感じでさ","これ、結構スゴい代物みたいなんだよ
まさに、選ばれし覚者しか手にできない
逸品って感じでさ",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,2
0,,"詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ","詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,3
0,,"《至高の戦功勲章》、気になるだろ？
詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ","《至高の戦功勲章》、気になるだろ？
詳しくは《クラフトルーム》のソニアに
聞いてみるといいぜ
俺よりずっと詳しいはずだ",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,4
0,,"《至高の戦功勲章》について、ですね？
それを手にできるのは
極地に至る志を持つ覚者様のみと伺っています","《至高の戦功勲章》について、ですね？
それを手にできるのは
極地に至る志を持つ覚者様のみと伺っています",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,5
0,,"しかし、その真価は素材として
利用することで発揮されるものです","しかし、その真価は素材として
利用することで発揮されるものです",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,6
0,,"《至高の戦功勲章》を使って
生産したリングプレートを
鑑定交換を営むグレゴリーに渡すことで
彼が稀少なジュエリーと交換してくれるでしょう","《至高の戦功勲章》を使って
生産したリングプレートを
鑑定交換を営むグレゴリーに渡すことで
彼が稀少なジュエリーと交換してくれるでしょう",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,7
0,,"生産するリングプレートによって
ジュエリーから引き出せる効能が異なります
クラフトの際は、よく確認なさってください","生産するリングプレートによって
ジュエリーから引き出せる効能が異なります
クラフトの際は、よく確認なさってください",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,8
0,,"そう易々と手に入るものではないかもしれません
――しかし、それだけの価値を持つ
素晴らしいジュエリーであることは確かです","そう易々と手に入るものではないかもしれません
――しかし、それだけの価値を持つ
素晴らしいジュエリーであることは確かです",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,9
0,,"【ヒント：リングプレートの効能】
①クラフトメニューから《アイテム生産》→《素材》→《その他》を選択
②各リングプレートを選択し《情報切り替え》で効能に関する説明を確認","【ヒント：リングプレートの効能】
①クラフトメニューから《アイテム生産》→《素材》→《その他》を選択
②各リングプレートを選択し《情報切り替え》で効能に関する説明を確認",ui\00_message\quest\q60200004.gmd,\quest\q60200004.arc,q60200004.arc,10
0,,"そうそう、覚者さん！
ちょっとお願いしたい事があるんだ","そうそう、覚者さん！
ちょっとお願いしたい事があるんだ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,0
0,,"覚者の知り合いが神殿の《商店区》に
新設された《クラン拠点》へ向かったんだが
何の説明も聞かずに行っちゃってね","覚者の知り合いが神殿の《商店区》に
新設された《クラン拠点》へ向かったんだが
何の説明も聞かずに行っちゃってね",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,1
0,,"たぶん門前払いにあって入れないと思うんだ
助けてやりたいんだが、わたしは見てのとおり――
ココの仕事が忙しくてさ","たぶん門前払いにあって入れないと思うんだ
助けてやりたいんだが、わたしは見てのとおり――
ココの仕事が忙しくてさ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,2
0,,"代わりに《クラン拠点》の使い方について
教えてやってくれないかな
何、そんなに難しいことじゃないよ！","代わりに《クラン拠点》の使い方について
教えてやってくれないかな
何、そんなに難しいことじゃないよ！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,3
0,,"で――さっそくなんだが
《クラン拠点》について知る上で
《クランクエストボード》がここに
新設されたから確認してみておくれ","で――さっそくなんだが
《クラン拠点》について知る上で
《クランクエストボード》がここに
新設されたから確認してみておくれ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,4
0,,"《クラン拠点》について知る上で
まずは《クランクエストボード》がここに
新設されたから確認してみておくれ","《クラン拠点》について知る上で
まずは《クランクエストボード》がここに
新設されたから確認してみておくれ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,5
0,,"ボードの存在は確認できたようだね
――もし君がクランに入っていない場合は
どんなクエストがあるかわからなかったと思うけど
クランに入ればわかるようになるからさ！","ボードの存在は確認できたようだね
――もし君がクランに入っていない場合は
どんなクエストがあるかわからなかったと思うけど
クランに入ればわかるようになるからさ！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,6
0,,"さて、それじゃ説明するよ――
《クラン拠点》を利用するには
条件が３つあるんだ","さて、それじゃ説明するよ――
《クラン拠点》を利用するには
条件が３つあるんだ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,7
0,,"１つは、どこかのクランに所属すること――
２つめは、《クランレベル》を
一定以上に上げること――
最後に、クランマスターが利用申請を出すこと！","１つは、どこかのクランに所属すること――
２つめは、《クランレベル》を
一定以上に上げること――
最後に、クランマスターが利用申請を出すこと！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,8
0,,"《クランレベル》を上げるためには
さっきの《クランクエストボード》に並ぶクエストを
こなしてポイントを稼ぐ必要があるのさ","《クランレベル》を上げるためには
さっきの《クランクエストボード》に並ぶクエストを
こなしてポイントを稼ぐ必要があるのさ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,9
0,,"あ、ちなみに
稼いだ《クランポイント》は
自分の《クランステータス》で確認できるよ","あ、ちなみに
稼いだ《クランポイント》は
自分の《クランステータス》で確認できるよ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,10
0,,"所属するクランの《クランレベル》が十分なのに
まだ《クラン拠点》に入れないようなら
クランマスターに早く申請を出すよう頼むことだね","所属するクランの《クランレベル》が十分なのに
まだ《クラン拠点》に入れないようなら
クランマスターに早く申請を出すよう頼むことだね",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,11
0,,"利用申請が通ると、晴れて
そのクランのメンバー全員が
自由に《クラン拠点》を
出入りできるようになるのさ","利用申請が通ると、晴れて
そのクランのメンバー全員が
自由に《クラン拠点》を
出入りできるようになるのさ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,12
