#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
1,TUTORIAL_STEP_480,"<COL ffdc78>ミッション開始時のスタート位置は２箇所あり、
ランダムでそれぞれ４人ずつに分かれます</COL>

うまく戦力を分散させるため、エントリーボードを
作成する際には募集するジョブと人数を考えて
戦略を立てましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step278.gmd,\tguide\tutorial_guide_278.arc,tutorial_guide_278.arc,1
0,TUTORIAL_STEP_452,"<COL ffdc78>《目覚めし闇の魔物》は</COL>
最大８人のパーティーを結成して
《ボルド大坑道》に現れた大いなる脅威と戦う
エクストリームミッションです

各所に出現する敵を討伐して封印を解き
最後に現れる強敵を討ち果たしましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step279.gmd,\tguide\tutorial_guide_279.arc,tutorial_guide_279.arc,0
1,TUTORIAL_STEP_451,"なお、各所の敵は<COL ffdc78>討伐に時間をかけすぎると
更に強力な魔物が出現してしまいます</COL>

パーティー内で連携をとり
迅速に討伐していきましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step279.gmd,\tguide\tutorial_guide_279.arc,tutorial_guide_279.arc,1
1,TUTORIAL_STEP_492,"集う竜力は以前と比べ物にならないほど強大で
数多くの戦徒が生み出されては
あなたの前に立ち塞がります

敵の中に孤立しないよう立ち回りましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step286.gmd,\tguide\tutorial_guide_286.arc,tutorial_guide_286.arc,1
0,TUTORIAL_STEP_454,"<COL ffdc78>《歪みの執行人》</COL>は最大４人のパーティーで
魔赤島に現れた新たな敵と戦う
エクストリームミッションです

<COL ffdc78>異界の礎の力によりパーティーメンバーの誰かが
離れた地へ飛ばされてしまう事があります</COL>
飛ばされたメンバーは、現れた敵を全滅させ
パーティーへの合流を目指しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step288.gmd,\tguide\tutorial_guide_288.arc,tutorial_guide_288.arc,0
0,TUTORIAL_STEP_145,"<COL ffdc78>《ショートカット》</COL>はさまざまな機能を
楽なボタンで呼び出せる便利な短縮操作です

回復アイテム、チャット定型文、メニューや
ポーン命令など、とっさの使用が
生死を分けることもあります

すぐ使いたいアイテムや機能は
あらかじめ登録しておきましょう","<COL ffdc78>""Shortcuts""</COL> are a convenient way to execute
game functions with a simple button
combination.

The use of healing items, chat messages,
menu/pawn commands and more in an instant
can be the difference between life and death.

If you have an item or feature you might
want to use in a hurry, make sure to
register it in advance.",ui\00_message\tutorial_guide\steps\tutorial_guide_step29.gmd,\tguide\tutorial_guide_29.arc,tutorial_guide_29.arc,0
1,TUTORIAL_STEP_408,"＜登録方法：マルチショートカット＞
【<KC UI_GAME_MENU>】ゲームメニューから、登録したい
メニューを選択
アイテムの場合は《アイテムバッグ》の
<COL ffdc78>消費アイテム</COL>を選択

<PADM>　【<KC UI_SC_MULTI>】を押して【 <KC UI_SC_MULTI_RIGHT>／<KC UI_SC_MULTI_DOWN>／<KC UI_SC_MULTI_LEFT>／<KC UI_SC_MULTI_UP> 】<KEYM>　【<KC UI_MSC1> ～ <KC UI_MSC12>】任意に割り当て</KEYM>
<PADM>　　　　　　※任意に割り当て

<PADM>　【<KC UI_SC_MULTI_PAGE_L>／<KC UI_SC_MULTI_PAGE_R>】セット切替（３セットまで可能）</PADM>","Registration Method - Multi-Shortcut:
From the [<KC UI_GAME_MENU>] Game Menu, highlight the menu option.
In the case of an item, highlight a <COL ffdc78>Consumable</COL>
from the ""Item Bag"".

<PADM>　Hold [<KC UI_SC_MULTI>] then press [ <KC UI_SC_MULTI_RIGHT>/<KC UI_SC_MULTI_DOWN>/<KC UI_SC_MULTI_LEFT>/<KC UI_SC_MULTI_UP> ]<KEYM>　[<KC UI_MSC1> ~ <KC UI_MSC12>] assign to your choice</KEYM>
<PADM>　　　　　　*assign to your choice

<PADM>　[<KC UI_SC_MULTI_PAGE_L>/<KC UI_SC_MULTI_PAGE_R>] Change set (Up to 3 sets allowed)</PADM>",ui\00_message\tutorial_guide\steps\tutorial_guide_step29.gmd,\tguide\tutorial_guide_29.arc,tutorial_guide_29.arc,1
2,TUTORIAL_STEP_409,"＜登録方法：簡易コミュニケーション＞
【<KC UI_GAME_MENU>】ゲームメニューの
《コミュニケーション》の《定型文》《エモート》や
《キャラクター》の《ポーン命令》で登録項目を選択

<PADM>　【<KC UI_SC_COMMU>】を押して【 <KC UI_SC_COMMU1>／<KC UI_SC_COMMU2>／<KC UI_SC_COMMU3>／<KC UI_SC_COMMU4> 】<KEYM>　【<KC UI_MSC1> ～ <KC UI_MSC8>】任意に割り当て</KEYM>
<PADM>　　　　　　　　【 <KC UI_SC_COMMU5>／<KC UI_SC_COMMU6>／<KC UI_SC_COMMU7>／<KC UI_SC_COMMU8> 】
　　　　　　※任意に割り当て</PADM><KEYM>　　　※呼び出し時は【<KC UI_SC_COMMU>】で登録ウィンドウ切替</KEYM>
<PADM>　【<KC UI_SC_COMMU_PAGE_L>／<KC UI_SC_COMMU_PAGE_R>】<KEYM>　【<KC UI_MSC9>／<KC UI_MSC10>】</KEYM>セット切替（３セットまで可能）","Registration Method - Quick Communication:
From the [<KC UI_GAME_MENU>] Game Menu, in ""Communication""->""Phrases"" or ""Emotes""
or in ""Character""->""Pawn Order"", highlight
an entry to register.

<PADM>　Hold [<KC UI_SC_COMMU>] then press [ <KC UI_SC_COMMU1>/<KC UI_SC_COMMU2>/<KC UI_SC_COMMU3>/<KC UI_SC_COMMU4> ]<KEYM>　[<KC UI_MSC1> ~ <KC UI_MSC8>] assign to your choice</KEYM>
<PADM>　　　　　　　　[ <KC UI_SC_COMMU5>/<KC UI_SC_COMMU6>/<KC UI_SC_COMMU7>/<KC UI_SC_COMMU8> ]
　　　　　　*assign to your choice</PADM><KEYM>　　　*press [<KC UI_SC_COMMU>] to toggle the quick chat window</KEYM>
<PADM>　[<KC UI_SC_COMMU_PAGE_L>/<KC UI_SC_COMMU_PAGE_R>]<KEYM>　[<KC UI_MSC9>/<KC UI_MSC10>]</KEYM> Change set (Up to 3 sets allowed)",ui\00_message\tutorial_guide\steps\tutorial_guide_step29.gmd,\tguide\tutorial_guide_29.arc,tutorial_guide_29.arc,2
0,TUTORIAL_STEP_459,"<COL 78f5ff>侵食の大災 序節：「レスタニアの命運」到達！</COL>

　""嵐と共に訪れた異変にも
　　騎士団と覚者は怯まず
　　白竜の加護は彼らに勝利をもたらした――

　　されど蝕まれた災厄は未だ祓われず
　　真実への鍵は
　　大海原に浮かぶ孤島に眠る――""",,ui\00_message\tutorial_guide\steps\tutorial_guide_step293.gmd,\tguide\tutorial_guide_293.arc,tutorial_guide_293.arc,0
1,TUTORIAL_STEP_466,"レオの後任としての重責を
見事果たしつつあるあなたは
島の調査に向かうこととなります

何もかもが未知となる新たな地への冒険に備え
戦技や技能に磨きをかけましょう

白竜の元で《戦技の継承》のためのクエストを
受注できるようになりました
新たな戦技を身に付けることができますので
各ジョブで挑戦してみてください",,ui\00_message\tutorial_guide\steps\tutorial_guide_step293.gmd,\tguide\tutorial_guide_293.arc,tutorial_guide_293.arc,1
0,TUTORIAL_STEP_463,"<COL 78f5ff>侵食の大災 第二節：「託されし者」到達！</COL>

　""崇高なる志は
　　その身をもって黒き脅威を退けた
　　友を失い、また新たなる絆を得て
　　覚者は進み続ける――
　
　　異なる竜、異なる理が治める
　　二つの大陸が今繋がれようとしている――""",,ui\00_message\tutorial_guide\steps\tutorial_guide_step294.gmd,\tguide\tutorial_guide_294.arc,tutorial_guide_294.arc,0
1,TUTORIAL_STEP_467,"あなたが率いた覚者隊は
黒騎士を退けることに成功しました

侵食という災禍の根源を探るべく
セシリーの故郷である《フィンダム大陸》での
物語が始まろうとしています

装備を鍛え、異なる文化を持つ地での
新たなる戦いに備えましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step294.gmd,\tguide\tutorial_guide_294.arc,tutorial_guide_294.arc,1
2,TUTORIAL_STEP_478,"また、エクストリームミッションに参加するための
必須クエスト『混沌の兆し』が解放されました

クエストは謁見の間にいるジョゼフから
受注することができます

腕に覚えのある覚者は
ぜひ新たなミッションに挑戦してください",,ui\00_message\tutorial_guide\steps\tutorial_guide_step294.gmd,\tguide\tutorial_guide_294.arc,tutorial_guide_294.arc,2
0,TUTORIAL_STEP_449,"<COL 78f5ff>新しい拠点とエリアを開拓しました</COL>

この新エリアでも、クエストボードや
ワールドクエストが解放されました",,ui\00_message\tutorial_guide\steps\tutorial_guide_step295.gmd,\tguide\tutorial_guide_295.arc,tutorial_guide_295.arc,0
1,TUTORIAL_STEP_450,"エリアマスターのベルトランに話しかけることで
エリアランクを確認することができます

新エリアでも積極的にクエストをこなして
エリアポイントを貯め
エリアランクを上げましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step295.gmd,\tguide\tutorial_guide_295.arc,tutorial_guide_295.arc,1
0,TUTORIAL_STEP_462,"一部のクエストやミッションには参加条件として
<COL ffdc78>《平均アイテムランク（IR）》</COL>が
設定されているものがあります

《平均IR》とは、あなたが身に付けている
装備品のアイテムランクの平均です",,ui\00_message\tutorial_guide\steps\tutorial_guide_step297.gmd,\tguide\tutorial_guide_297.arc,tutorial_guide_297.arc,0
1,TUTORIAL_STEP_464,"　メイン武器、頭防具、胴アーマー　
　腕防具、脚アーマー、各種ウェア　の
それぞれの部位の装備品を
よりランクの高いものに付け替えることで
平均IRを上げることができます

現在のレベル帯にふさわしいダンジョンに挑戦し
IRを上げるために装備を揃えていきましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step297.gmd,\tguide\tutorial_guide_297.arc,tutorial_guide_297.arc,1
0,TUTORIAL_STEP_460,"<COL 78f5ff>《ポーン遠征隊》が解放されました！</COL>

<COL ffdc78>《ポーン遠征隊》</COL>は、
クラン拠点から１日１回パートナーポーンを
指定したスポットに派遣できるコンテンツです

派遣したポーンは翌日まで戻ってこないため
冒険の終わりに派遣させるとよいでしょう

※スポットに採取物が無い場合、
　ゴールドを持ち帰ります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step299.gmd,\tguide\tutorial_guide_299.arc,tutorial_guide_299.arc,0
1,TUTORIAL_STEP_504,"ポーン遠征隊に派遣したポーンは、
《ホットスポット》と呼ばれる
特殊な状態のスポットを発見することがあります

ポーン隊帰還後の報告で知ることができ、
スポットリストにホットスポットが登録されます

ホットスポットでは《発掘武器》と呼ばれる
未知のお宝を入手する事ができるため
積極的に参加しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step299.gmd,\tguide\tutorial_guide_299.arc,tutorial_guide_299.arc,1
0,TUTORIAL_STEP_461,"拠点以外の場所にもリム転移が可能になる
<COL ffdc78>《辺境の礎》</COL>が各所に設置されました

拠点の礎と同じく
一度触れて「解放状態」にした辺境の礎は
リム転移の行先に選べるようになります

また、レスタニア内においては
エリアランク１１にすることで
そのエリアにある全ての礎が自動的に解放されます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step301.gmd,\tguide\tutorial_guide_301.arc,tutorial_guide_301.arc,0
1,TUTORIAL_STEP_479,"辺境の礎は受信専用の子機のようなもので
行き先として選択することしかできません

しかし、今まで行きづらかったところへも
瞬時に移動できる利点があります

マイ拠点として登録することも可能なので
よく行く場所の近くに辺境の礎を発見した時は
「解放状態」にしておきましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step301.gmd,\tguide\tutorial_guide_301.arc,tutorial_guide_301.arc,1
0,TUTORIAL_STEP_471,"戦技補佐画面から<COL ffdc78>《カスタムスキルパレット》</COL>を
２つ登録できるようになりました

＜戦技補佐画面でのパレットの切り替え方法＞
戦技補佐画面のスキル登録時に
【<KC UI_X>】でパレットを切替え可能",,ui\00_message\tutorial_guide\steps\tutorial_guide_step302.gmd,\tguide\tutorial_guide_302.arc,tutorial_guide_302.arc,0
1,TUTORIAL_STEP_472,"セットした２つのパレットは
いつでも切り替える事が可能です

＜通常時のパレットの切り替え方法＞
【<KC CHANGE_SKILLSET>】長押し

※パレットが切り替わるまでは無防備になるため
　戦闘中は注意しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step302.gmd,\tguide\tutorial_guide_302.arc,tutorial_guide_302.arc,1
0,TUTORIAL_STEP_475,"アチーブメントの達成に応じて
<COL ffdc78>≪家具レシピ≫</COL>を獲得できます

宿場区のジュリアに話しかけ
≪アチーブメント≫から
家具レシピの獲得条件を確認したり
家具レシピを受け取ることができます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step303.gmd,\tguide\tutorial_guide_303.arc,tutorial_guide_303.arc,0
1,TUTORIAL_STEP_476,"家具レシピを手に入れることができたら
クラフトルームで家具を作成してみましょう

作成した家具は
≪覚者の自室≫でパートナーポーンに
話しかけることで設置、変更ができます

お気に入りの家具を設置して自室を彩りましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step303.gmd,\tguide\tutorial_guide_303.arc,tutorial_guide_303.arc,1
0,TUTORIAL_STEP_474,"<COL 78f5ff>≪エリアランクキャップ≫が開放されました！</COL>

エリアランクの上限が開放され
エリアランクが11以上に上がるようになりました

レスタニアの≪エリアマスター≫のもとを訪ね
彼らの治める地域に変化が無いか確認してみましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step304.gmd,\tguide\tutorial_guide_304.arc,tutorial_guide_304.arc,0
0,TUTORIAL_STEP_484,"敵スタミナゲージを減少させるための
""揺さぶり""　そして
""弱点 《シークレットコア》 への攻撃"" 
これらにつづく新たな手段が追加されました

怒ってダメージが通りにくくなった敵に攻撃を加え、
<COL ffdc78>ブレイク状態</COL>にすることで
スタミナゲージを大量に減少させることができます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step306.gmd,\tguide\tutorial_guide_306.arc,tutorial_guide_306.arc,0
1,TUTORIAL_STEP_485,"怒った敵に攻撃を加えて
<COL ffdc78>《ブレイクアイコン》</COL>が満了になると
敵は大きく体勢を崩してブレイク状態となります

ブレイク値の上昇量は
攻撃を加えた敵の部位によって大きく異なります

また、吹き飛ばし力が高い攻撃ほど
ブレイク値が大きく上昇します",,ui\00_message\tutorial_guide\steps\tutorial_guide_step306.gmd,\tguide\tutorial_guide_306.arc,tutorial_guide_306.arc,1
0,TUTORIAL_STEP_486,"敵スタミナゲージ の減少量が一時的に増加する
<COL ffdc78>《特殊状態》</COL>が新たに追加されました

この特殊状態が発生すると
スタミナゲージが青色に変わります

青色に変わっている間は、揺さぶりを行った時の
敵スタミナゲージの減少量が一気に跳ね上がり
敵をダウンさせるまでの時間短縮に大きく貢献します",,ui\00_message\tutorial_guide\steps\tutorial_guide_step307.gmd,\tguide\tutorial_guide_307.arc,tutorial_guide_307.arc,0
1,TUTORIAL_STEP_487,"なお、<COL ffdc78>スタミナゲージが
青色に変色する条件は敵ごとに異なります</COL>

怒った敵に攻撃を加えて敵の体勢を崩したとき
有翼系の敵が空中を飛んでいるとき、など
変色条件は様々です

敵スタミナゲージが青色に変色したら
積極的にしがみついて揺さぶりを狙いましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step307.gmd,\tguide\tutorial_guide_307.arc,tutorial_guide_307.arc,1
0,TUTORIAL_STEP_78,"野外には危険な場所も存在します
以下の場所には注意して進みましょう

＜毒や炎に包まれた場所＞
　ダメージを受けたり、状態異常の
 【毒】や【延焼】にかかってしまいます

　深刻な追加ダメージにつながるため、
　回復手段はいつでも用意しておきましょう","There are dangerous places in the field.
Proceed with caution.

There are places filled with poison and flames.
You will take damage or status abnormalities,
like ""Poison"" and ""Caught Fire"".

Which will deal additional damage over time.
Always prepare ways to recover from those.",ui\00_message\tutorial_guide\steps\tutorial_guide_step31.gmd,\tguide\tutorial_guide_31.arc,tutorial_guide_31.arc,0
1,TUTORIAL_STEP_77,"＜水辺＞
　レスタニアの水辺にはヒュージブルという
　魔物が潜み、深みに入ると引きずり込まれます

　その場合、最後にいた陸地に戻されます

　ただし、あまりに深い淵や谷川に落下した場合
　死亡状態になることもあります","""Water"".
There is danger in the waters of Lestania.
The Brine hides in the water and drags victims into the depths.

If that happens you will be returned to land.

However, if you fall into a deep pool or stream.
You may die.",ui\00_message\tutorial_guide\steps\tutorial_guide_step31.gmd,\tguide\tutorial_guide_31.arc,tutorial_guide_31.arc,1
2,TUTORIAL_STEP_229,"＜高所からの落下＞
　高所から落下すると、高さに応じて
　ダメージを受けてしまいます

　あまりに高いと死亡の危険もあるため
　崖ぎわなどは特に注意が必要です","""Falling Damage"".
When you fall, the damage you take
depends on the height which you fell.
	
Fall from too high and you may die.
Be careful around cliffs.",ui\00_message\tutorial_guide\steps\tutorial_guide_step31.gmd,\tguide\tutorial_guide_31.arc,tutorial_guide_31.arc,2
0,TUTORIAL_STEP_508,"<COL ffdc78>《古代神殿の死闘》</COL>は
最大８人のパーティーを結成して
《シェドレアン大神殿》に現れた脅威と戦う
エクストリームミッションです

ミッション開始後、《殲滅区　右方》と
《殲滅区　左方》への道が拓かれます

パーティーメンバー同士で協力し
神殿の最奥にいる元凶となる魔物を退けましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step314.gmd,\tguide\tutorial_guide_314.arc,tutorial_guide_314.arc,0
1,TUTORIAL_STEP_520,"先に宝物庫へ到達したメンバーは
アイテムを受け取った後に最奥へ進むか
もう一方のメンバーを加勢しにいくことができます

最奥に潜む魔物を討伐することでミッションは
クリアーとなるため、まだ<COL ffdc78>《殲滅区》を進行途中の
メンバーがいる場合は、加勢することをオススメします</COL>",,ui\00_message\tutorial_guide\steps\tutorial_guide_step314.gmd,\tguide\tutorial_guide_314.arc,tutorial_guide_314.arc,1
2,TUTORIAL_STEP_521,"<COL ffdc78>特別な宝物庫への行き方</COL>

《殲滅区　右方》と《殲滅区　左方》のどちらかの
魔物が全て殲滅されると、礎を封じる魔壁が
片方のみ消滅します

<COL ffdc78>ミッションに出撃したパーティーメンバーの
誰一人として死亡状態にならないことも条件</COL>である
ため、競い合いつつも、互いに協力することが
不可欠となります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step314.gmd,\tguide\tutorial_guide_314.arc,tutorial_guide_314.arc,2
0,TUTORIAL_STEP_509,"<COL ffdc78>《呼び覚まされし竜》</COL>は
最大８人のパーティーを結成して
《芯なる樹》に記憶される精霊竜と戦う
エクストリームミッションです

樹内の記憶は、覚者自身が経験した戦いより
更に激しく呼び起され、容赦のない攻撃を
繰り出してきます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step315.gmd,\tguide\tutorial_guide_315.arc,tutorial_guide_315.arc,0
0,TUTORIAL_STEP_510,"<COL 78f5ff>《プレイポイント》が入手可能になりました！</COL>

<COL ffdc78>《プレイポイント（PP）》</COL>は
各ジョブがレベル70に到達した後に
経験値（XP）の代わりに獲得することができます

集めたプレイポイントを使い、
《プレイポイントショップ》にて様々な要素を
購入しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step316.gmd,\tguide\tutorial_guide_316.arc,tutorial_guide_316.arc,0
1,TUTORIAL_STEP_515,"《プレイポイント》を入手するためには
白竜神殿にいるアーチボルトに話しかけ、
プレイポイントを取得するモードに切り替えてから
敵を倒す必要があります

<COL ffdc78>※敵討伐時のプレイポイント入手に関しては
自分と同レベル相当の一部の敵が対象となります</COL>

<COL ffdc78>※メインクエストなど一部コンテンツの
　クリア報酬では、取得モードが通常/PP
　どちらの状態でも経験値を取得します</COL>",,ui\00_message\tutorial_guide\steps\tutorial_guide_step316.gmd,\tguide\tutorial_guide_316.arc,tutorial_guide_316.arc,1
2,TUTORIAL_STEP_516,"＜プレイポイント獲得モードへの切替方法＞

《戦技補佐》画面の《ジョブ》からジョブ別に
プレイポイント獲得モードに切替可能です

※モード切替が可能になったジョブに関しては
いつでも元に戻すことが可能です",,ui\00_message\tutorial_guide\steps\tutorial_guide_step316.gmd,\tguide\tutorial_guide_316.arc,tutorial_guide_316.arc,2
